	G1	G2	G3	MeanDecreaseAccuracy	MeanDecreaseGini
APC	8.03067456794133	0.238003323501835	8.92319578257873	9.43840269077934	3.57910940989159
TP53	7.79008427760012	5.0396863210733	13.7375486791389	14.1292272155679	5.56615671284169
KRAS	8.86461026035598	27.4779228929907	22.9408387905809	27.9000184143457	16.2293671420498
PIK3CA	1.37469682420807	2.77123161989252	7.36775615005281	7.12957256183154	2.41932222958123
KMT2C	4.97920441285952	4.50645520124847	1.83768256221583	5.71404154654081	2.55237018509323
KMT2D	4.91278946443116	-2.24831224158604	7.70492808701621	7.22330742936328	2.28451230545542
ARID1A	4.47393867239359	6.09602740176456	2.46916325304167	7.32618595597109	2.56688272332362
RYR1	5.04683633845329	-1.1253660459405	13.6477342971999	12.4889429444983	2.96775968447808
FBXW7	-0.481086590395704	2.71822873424674	2.83202615795281	3.17048094750737	1.28557217802594
ASXL1	-0.428272002095437	3.97118038960612	2.90151714745408	4.47515670623285	1.52167112932509
FAT1	6.67621475101458	3.28311010206196	4.2791533793625	7.6206664732423	3.31190212096551
ZFHX3	5.26388118935605	6.4220359225788	4.55459968169011	8.58070950458078	2.67795146150991
ATM	4.34209502254484	6.35499005678258	1.41976068799938	7.27429581951728	1.90503526490509
PRKDC	6.36825188881871	-1.2062087075509	8.42152789871273	8.93369988591246	3.16235432752885
AMER1	-0.703577369632441	-0.726741371216365	4.50868981005953	2.99229114509816	1.18558958319477
IGF2R	9.35911767577703	10.1735746371377	7.64178631423114	12.3809392548568	4.28735723298405
KMT2A	4.55209311850821	1.66484277602502	2.07860064623627	5.61941444761839	1.78082235259602
TCF7L2	0.610881349221969	-0.538213240440927	0.0338912637958731	0.184305839729775	0.763669393461474
FLT1	1.51840566617859	2.30173164426136	1.52936494070952	3.13045851429637	1.26024419655066
ACVR2A	7.1799002981062	9.82495353889289	7.95944650444747	14.1663661814657	3.36466539064013
SOX9	0.311443948523187	0.102861490402306	4.97900184417971	4.62671464683243	1.25984607048287
ERBB4	2.49480586264067	-0.591788574778541	1.63841040896742	1.90987726361375	0.934602508052426
CREBBP	0.887460758251072	1.43791832426907	0.0175013560528173	1.27412734331996	1.01279073851675
SMAD4	0.111055321899154	-1.54164516880219	1.94755750914842	0.418834549546447	1.19785371458524
UBR5	2.70798474337808	0.596849191602995	5.2454839502816	5.7177664001158	1.68682885492687
CTNNB1	2.89820916447689	9.68458614942048	2.68534545726011	9.15186771708789	1.68363678676452
PREX2	-2.18618159459491	-0.16649782080481	1.34832272625961	-0.0146310036298392	0.760454078346627
BCL9	-0.502864715819262	-2.24137967044445	7.21147278509135	4.30772765140434	1.12190502518133
CIC	5.12305103221502	7.8027530949276	1.95777161197399	7.98590469936605	1.93462716016633
CARD11	1.99189035130907	6.64718796896301	-0.497846156961091	4.91958713533977	1.27787987002837
POLE	2.51571277325489	6.62610247183646	0.437002235985568	5.54578929289353	1.23148191217729
NSD1	-0.479892775905076	1.11508260244586	4.4341009606723	3.37243272577214	1.06539844647053
ARID1B	1.60689833405927	2.48855117191588	5.03532207355817	5.83842342552491	1.35335201889756
NOTCH3	0.52173397597909	-1.55543758904595	0.895432949604601	0.144347168809345	0.691298594423258
SCN8A	4.6097069550588	5.53891616064863	4.0507590598645	7.58647229674573	1.73854223833511
CHD4	-0.770720325384736	3.83957749799624	-2.90612047406669	-0.351376260540417	0.989787034642445
KDM5A	1.0755509995534	4.20018862087825	0.189937465193626	3.48363828639932	1.11434300824023
GRIN2A	-0.550929065054904	5.06737529350514	-2.29963428081926	1.10118183146528	0.706379592211294
SPEN	8.97074654520514	9.96507611833157	7.88830184830212	12.1153682272402	3.12963925710141
BCORL1	3.81440001809778	6.98912766520186	4.68984119725817	7.81593344547924	1.46919541459591
EP300	2.61113464147496	-0.29817072117065	6.00027309556512	5.21517819649317	1.24671039485441
SETD2	1.77525725080475	1.67479949439252	5.91101576212538	5.68809656299141	1.52713956690607
PIK3R1	0.815994502739619	-1.09460703568036	1.32133173528666	0.195990520901268	0.909779796336296
MED12	-1.04261370533711	2.81457171802423	5.13555505394999	4.43152856448065	0.836043776537074
POLR2A	0.488364902053063	2.9073692987385	0.607066580185849	2.85985342619738	0.954387426404676
ALK	0.6020703323271	1.7223397909857	-0.462499742696894	0.796902090798826	0.676140435154551
ERBB3	1.38267496306921	9.06247301646844	0.517274003729739	7.48399227471498	1.16149996358274
GLI1	2.98749661338889	6.13795227515336	4.60126966909234	6.88418214760583	1.39064804290407
FANCA	5.9416287426729	5.84785129262349	6.07545117900147	9.1409491104235	1.94807150553188
MUC12	1.41048976700755	2.44770252912601	-2.30634884962267	0.586428251006694	0.999384007913018
