"ID"	"ID2"	"cluster"	"predtree"
"P443631"	"P443631"	"S-I"	"S-I"
"P421244"	"P421244"	"S-I"	"S-I"
"P435617"	"P435617"	"S-I"	"S-I"
"P471944"	"P471944"	"S-I"	"S-I"
"P415224"	"P415224"	"S-I"	"S-I"
"P561928"	"P561928"	"S-I"	"S-I"
"P497421"	"P497421"	"S-I"	"S-I"
"P423970"	"P423970"	"S-I"	"S-I"
"P504802"	"P504802"	"S-I"	"S-I"
"P447359"	"P447359"	"S-I"	"S-I"
"P451927"	"P451927"	"S-I"	"S-I"
"P487910"	"P487910"	"S-I"	"S-I"
"P444226"	"P444226"	"S-I"	"S-I"
"P453025"	"P453025"	"S-I"	"S-I"
"P419963"	"P419963"	"S-I"	"S-I"
"P550478"	"P550478"	"S-I"	"S-I"
"P522054"	"P522054"	"S-I"	"S-I"
"P487075"	"P487075"	"S-I"	"S-I"
"P547810"	"P547810"	"S-I"	"S-I"
"TCGA-CM-6677-01"	"TCGA-CM-6677-01"	"S-I"	"S-I"
"TCGA-AA-3492-01"	"TCGA-AA-3492-01"	"S-I"	"S-I"
"TCGA-G4-6302-01"	"TCGA-G4-6302-01"	"S-I"	"S-I"
"TCGA-D5-6930-01"	"TCGA-D5-6930-01"	"S-I"	"S-I"
"TCGA-AD-A5EJ-01"	"TCGA-AD-A5EJ-01"	"S-I"	"S-I"
"TCGA-AZ-4681-01"	"TCGA-AZ-4681-01"	"S-I"	"S-I"
"TCGA-CA-5254-01"	"TCGA-CA-5254-01"	"S-I"	"S-I"
"TCGA-AA-3522-01"	"TCGA-AA-3522-01"	"S-I"	"S-I"
"TCGA-A6-5661-01"	"TCGA-A6-5661-01"	"S-I"	"S-I"
"TCGA-CM-4743-01"	"TCGA-CM-4743-01"	"S-I"	"S-I"
"TCGA-CK-5913-01"	"TCGA-CK-5913-01"	"S-I"	"S-I"
"TCGA-CM-5861-01"	"TCGA-CM-5861-01"	"S-I"	"S-I"
"TCGA-AA-A022-01"	"TCGA-AA-A022-01"	"S-I"	"S-I"
"TCGA-A6-2686-01"	"TCGA-A6-2686-01"	"S-I"	"S-I"
"TCGA-AA-3947-01"	"TCGA-AA-3947-01"	"S-I"	"S-I"
"TCGA-AD-6889-01"	"TCGA-AD-6889-01"	"S-I"	"S-I"
"TCGA-CK-6746-01"	"TCGA-CK-6746-01"	"S-I"	"S-I"
"TCGA-D5-6928-01"	"TCGA-D5-6928-01"	"S-I"	"S-I"
"TCGA-G4-6588-01"	"TCGA-G4-6588-01"	"S-I"	"S-I"
"TCGA-A6-5665-01"	"TCGA-A6-5665-01"	"S-I"	"S-I"
"TCGA-AZ-6598-01"	"TCGA-AZ-6598-01"	"S-I"	"S-I"
"TCGA-F4-6703-01"	"TCGA-F4-6703-01"	"S-I"	"S-I"
"TCGA-A6-3809-01"	"TCGA-A6-3809-01"	"S-I"	"S-I"
"TCGA-F4-6570-01"	"TCGA-F4-6570-01"	"S-I"	"S-I"
"TCGA-AM-5821-01"	"TCGA-AM-5821-01"	"S-I"	"S-I"
"TCGA-AA-3510-01"	"TCGA-AA-3510-01"	"S-I"	"S-I"
"TCGA-WS-AB45-01"	"TCGA-WS-AB45-01"	"S-I"	"S-I"
"TCGA-AA-3984-01"	"TCGA-AA-3984-01"	"S-I"	"S-I"
"TCGA-NH-A5IV-01"	"TCGA-NH-A5IV-01"	"S-I"	"S-I"
"TCGA-CA-6718-01"	"TCGA-CA-6718-01"	"S-I"	"S-I"
"TCGA-AA-A00N-01"	"TCGA-AA-A00N-01"	"S-I"	"S-I"
"TCGA-CA-6717-01"	"TCGA-CA-6717-01"	"S-I"	"S-I"
"TCGA-AZ-4315-01"	"TCGA-AZ-4315-01"	"S-I"	"S-I"
"TCGA-AA-A010-01"	"TCGA-AA-A010-01"	"S-I"	"S-I"
"TCGA-F5-6814-01"	"TCGA-F5-6814-01"	"S-I"	"S-I"
"TCGA-A6-6780-01"	"TCGA-A6-6780-01"	"S-I"	"S-I"
"TCGA-AA-3663-01"	"TCGA-AA-3663-01"	"S-I"	"S-I"
"P444392"	"P444392"	"S-II"	"S-II"
"P486295"	"P486295"	"S-II"	"S-II"
"P435264"	"P435264"	"S-II"	"S-II"
"P445609"	"P445609"	"S-II"	"S-II"
"P456557"	"P456557"	"S-II"	"S-II"
"P535198"	"P535198"	"S-II"	"S-II"
"P467852"	"P467852"	"S-II"	"S-II"
"P509073"	"P509073"	"S-II"	"S-II"
"TCGA-D5-6529-01"	"TCGA-D5-6529-01"	"S-II"	"S-II"
"TCGA-D5-6927-01"	"TCGA-D5-6927-01"	"S-II"	"S-II"
"TCGA-NH-A50T-01"	"TCGA-NH-A50T-01"	"S-II"	"S-II"
"TCGA-AA-3489-01"	"TCGA-AA-3489-01"	"S-II"	"S-II"
"TCGA-DM-A280-01"	"TCGA-DM-A280-01"	"S-II"	"S-II"
"TCGA-DM-A28C-01"	"TCGA-DM-A28C-01"	"S-II"	"S-II"
"TCGA-DM-A0X9-01"	"TCGA-DM-A0X9-01"	"S-II"	"S-II"
"TCGA-CM-6168-01"	"TCGA-CM-6168-01"	"S-II"	"S-II"
"TCGA-G4-6304-01"	"TCGA-G4-6304-01"	"S-II"	"S-II"
"TCGA-5M-AATE-01"	"TCGA-5M-AATE-01"	"S-II"	"S-II"
"TCGA-CK-6747-01"	"TCGA-CK-6747-01"	"S-II"	"S-II"
"TCGA-AA-3660-01"	"TCGA-AA-3660-01"	"S-II"	"S-II"
"TCGA-D5-6532-01"	"TCGA-D5-6532-01"	"S-II"	"S-II"
"TCGA-DM-A0XD-01"	"TCGA-DM-A0XD-01"	"S-II"	"S-II"
"TCGA-D5-5537-01"	"TCGA-D5-5537-01"	"S-II"	"S-II"
"TCGA-D5-6920-01"	"TCGA-D5-6920-01"	"S-II"	"S-II"
"TCGA-CI-6622-01"	"TCGA-CI-6622-01"	"S-II"	"S-II"
"TCGA-G4-6627-01"	"TCGA-G4-6627-01"	"S-II"	"S-II"
"TCGA-CA-5255-01"	"TCGA-CA-5255-01"	"S-II"	"S-II"
"TCGA-CA-5796-01"	"TCGA-CA-5796-01"	"S-II"	"S-II"
"TCGA-F4-6854-01"	"TCGA-F4-6854-01"	"S-II"	"S-II"
"TCGA-D5-5540-01"	"TCGA-D5-5540-01"	"S-II"	"S-II"
"TCGA-A6-2681-01"	"TCGA-A6-2681-01"	"S-II"	"S-II"
"TCGA-A6-4105-01"	"TCGA-A6-4105-01"	"S-II"	"S-II"
