Group	APC	TP53	KRAS	PIK3CA	KMT2C	KMT2D	ARID1A	RYR1	FBXW7	ASXL1	FAT1	ZFHX3	ATM	PRKDC	AMER1	IGF2R	KMT2A	TCF7L2	FLT1	ACVR2A	SOX9	ERBB4	CREBBP	SMAD4	UBR5	CTNNB1	PREX2	BCL9	CIC	CARD11	POLE	NSD1	ARID1B	NOTCH3	SCN8A	CHD4	KDM5A	GRIN2A	SPEN	BCORL1	EP300	SETD2	PIK3R1	MED12	POLR2A	ALK	ERBB3	GLI1	FANCA	MUC12
groupS_I_mut	7	3	3	9	13	10	11	10	4	8	11	10	4	8	5	8	12	7	5	14	3	6	5	4	9	8	2	7	6	7	6	8	5	6	8	3	7	6	6	6	6	5	5	6	7	5	5	8	8	8
groupS_I_wt	12	16	16	10	6	9	8	9	15	11	8	9	15	11	14	11	7	12	14	5	16	13	14	15	10	11	17	12	13	12	13	11	14	13	11	16	12	13	13	13	13	14	14	13	12	14	14	11	11	11
groupS_II_mut	2	5	5	1	1	2	2	3	1	0	1	1	0	1	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	6
groupS_II_wt	6	3	3	7	7	6	6	5	7	8	7	7	8	7	8	8	7	7	5	8	8	8	8	7	8	8	8	8	8	8	8	8	8	7	8	8	8	7	8	8	8	7	8	8	7	8	8	8	8	2
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
								      																																										
