Gene	Group	groupI_mut	groupI_wt	groupII_mut	groupII_wt	Odds_ratio	p.value
APC	groupI vs groupII	7	12	2	6	1.71541890314212	0.675816357555488
TP53	groupI vs groupII	3	16	5	3	0.125101551353611	0.0266680179723658
KRAS	groupI vs groupII	3	16	5	3	0.125101551353611	0.0266680179723658
PIK3CA	groupI vs groupII	9	10	1	7	5.92580225765282	0.18954089388872
KMT2C	groupI vs groupII	13	6	1	7	13.5887093269919	0.0127536231884058
KMT2D	groupI vs groupII	10	9	2	6	3.18952136731964	0.235748792270531
ARID1A	groupI vs groupII	11	8	2	6	3.91055752109493	0.208695652173913
RYR1	groupI vs groupII	10	9	3	5	1.81001590483348	0.677616747181965
FBXW7	groupI vs groupII	4	15	1	7	1.82766943272051	1
ASXL1	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
FAT1	groupI vs groupII	11	8	1	7	8.8766426532078	0.0432552954292085
ZFHX3	groupI vs groupII	10	9	1	7	7.24943951832675	0.0899046203394029
ATM	groupI vs groupII	4	15	0	8	Inf	0.285470085470086
PRKDC	groupI vs groupII	8	11	1	7	4.82799565970202	0.201118881118881
AMER1	groupI vs groupII	5	14	0	8	Inf	0.279821627647715
IGF2R	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
KMT2A	groupI vs groupII	12	7	1	7	10.9260772066066	0.0328502415458937
TCF7L2	groupI vs groupII	7	12	1	7	3.90221837364856	0.364497145366711
FLT1	groupI vs groupII	5	14	3	5	0.607323625751564	0.65780615519746
ACVR2A	groupI vs groupII	14	5	0	8	Inf	0.000579710144927536
SOX9	groupI vs groupII	3	16	0	8	Inf	0.532307692307692
ERBB4	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
CREBBP	groupI vs groupII	5	14	0	8	Inf	0.279821627647715
SMAD4	groupI vs groupII	4	15	1	7	1.82766943272051	1
UBR5	groupI vs groupII	9	10	0	8	Inf	0.0257950744907267
CTNNB1	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
PREX2	groupI vs groupII	2	17	0	8	Inf	1
BCL9	groupI vs groupII	7	12	0	8	Inf	0.0681328333502246
CIC	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
CARD11	groupI vs groupII	7	12	0	8	Inf	0.0681328333502246
POLE	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
NSD1	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
ARID1B	groupI vs groupII	5	14	0	8	Inf	0.279821627647715
NOTCH3	groupI vs groupII	6	13	1	7	3.11015045073335	0.633363737711564
SCN8A	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
CHD4	groupI vs groupII	3	16	0	8	Inf	0.532307692307692
KDM5A	groupI vs groupII	7	12	0	8	Inf	0.0681328333502246
GRIN2A	groupI vs groupII	6	13	1	7	3.11015045073335	0.633363737711564
SPEN	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
BCORL1	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
EP300	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
SETD2	groupI vs groupII	5	14	1	7	2.42585313892069	0.633363737711564
PIK3R1	groupI vs groupII	5	14	0	8	Inf	0.279821627647715
MED12	groupI vs groupII	6	13	0	8	Inf	0.135785953177258
POLR2A	groupI vs groupII	7	12	1	7	3.90221837364856	0.364497145366711
ALK	groupI vs groupII	5	14	0	8	Inf	0.279821627647715
ERBB3	groupI vs groupII	5	14	0	8	Inf	0.279821627647715
GLI1	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
FANCA	groupI vs groupII	8	11	0	8	Inf	0.060712813756292
MUC12	groupI vs groupII	8	11	6	2	0.255718013251473	0.208695652173913
