gene	22153A1	22158A1	22174A1	22186A1	22367A1	22475A1	22477A1	22518A1	22543A1	22567A1	22576A1	22720A1	22762A1	22889A1	22926A1	22955A1	23071A1	23099A1	23106A1	23182A1	23306A1	23342A1	23388A1	23431A1	23450A1	23475A1	23634A1	23694A1	23704A1	23717A1	23765A1	23781A1	23885A1	23908A1	23928A1	23987A1	24166A1	24177A1	24204A1	24224A1	24244A1	24263A1	24314A1	24317A1	24318A1	24338A1	24492A1	24591A1	24650A1	24862A1	24888A1	24937A1	24941A1	25018A1	25030A1	25037A1	25200A1	25227A1	25293A1	25340A1	25355A1	25409A1	25413A1	25421A1	25431A1	25532A1	25564A1	25944A1	25968A1	25986A1	26006A1	26012A1	26043A1	26162A1	26163A1	26183A1	26345A1	26452A1	26474A1	26488A1	26618A1	26627A1	26665A1	26713A1	26742A1	26762A1	26763A1	26819A1	26822A1	26823A1	26838A1	27244A1	27278A1	27299A1	27308A1	27324A1	27336A1	27348A1	27370A1	27388A1	27620A1	27748A1	27752A1	27759A1	27837A1	27840A1	27854A1	27870A1	27900A1	28443A1	28450A1	28454A1	28480A1	28506A1	28508A1	28542A1	28565A1	28574A1	28822A1	28864A1	28902A1	28906A1	28964A1	28988A1	29000A1	29207A1	29212A1	29213A1	29216A1	29228A1	29240A1	29319A1	29323A1	29338A1	29340A1	29358A1	29360A1	29368A1	29370A1	29448A1	29450A1	29482A1	29555A1	29815A1	29829A1	29916A1	29987A1	30001A1	30016A1	30016A1R	303513T	303914T	30505A1	305165T	305246T	305903T	306183T	306324T	306673T	307882T	308282T	313990T	314381T	314538T	314883T	315738T	316243T	317231T	317409T	317592T	317887T	317926T	317954T	318310T	318438T	318560T	318998T	319258T	319835T	319966T	320148T	322587T	322822T	323017T	323102T	323206T	323484T	323998T	324484T	324827T	324854T	324911T	325131T	325615T	326035T	326446T	326618T	326707T	326855T	326965T	327193T	327271T	327803T	328241T	329115T	329260T	329756T
ABL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.277311	0	0	0	0	0	0	0	0	0	0	0	0	0.567742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11811	0	0	0	0	0	0.591837	0.586957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.485915	0	0	0	0	0	0	0	0	0	0	0	0	0	0.724891	0	0	0
ABL2	0	0	0	0.1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.224099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106329	0	0	0	0	0	0	0.454012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1B	0	0	0	0	0	0	0	0	30.269162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2A	0	0	0	20.362369	0	0	0	0	20.553571	0	0	20.355932	0	0	0	0	0	0	0	20.772727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.290179	0	0	0	0	0	0	0	0	0	0	20.747159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.137441	0	0	0	0	0	0	0	0	0	0	0	20.407407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.184932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.302703	0	0	0	20.221333	0	0	0	0	0	0	0	0	0	0	0	0	20.171913	0	0	0	0	0	0.10582	0	0	0	0	0	0	0	0	0	0	0
AKT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533981	0	0	0	0	0	0	0	0	0.15942	0	0	0	0	0.132045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.14881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.443491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALK	0	0	0	20.232704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.128906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.488372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497664	0	0	0	0	0	0	0	0	0	0	0	0	0.152439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMER1	0	0	0	0	0	0	0.997658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150313	0.483748	0	0	0	0	0	0	0	0	0	20.110553	0.481236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.344043	20.209524	0	0	0	0	0	0	0	0.706897	0	0	0	0	0	0	0	0.577181	0	0	0	0	0	0	0.487069	0.501763	0	0	0	0	0.566832	0	0	20.121331	0	0	0	0	0	20.183633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312955	0	0	20.168675	0	0	0	0	0	0	0	0.536508	0	0	0	0	0	0	0	0	0.506051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
