gene	TCGA-DD-AA3A-01A	TCGA-CC-A8HV-01A	TCGA-2Y-A9H2-01A	TCGA-DD-AAD8-01A	TCGA-DD-A3A7-01A	TCGA-FV-A3I0-01A	TCGA-WX-AA44-01A	TCGA-G3-A25T-01A	TCGA-WJ-A86L-01A	TCGA-BC-A10Q-01A	k_value	p_value	groupA_median	groupB_median	fc_median
RP11-368I23.2	9.89873564712051	13.3844023023837	0	0	15.2669052621319	0	13.7190531658195	0	9.94635044041234	0	15	0.655836496590659	0	13.3844023023837	-13.3844023023837
RP11-742D12.2	7.05867884149326	0	6.72443850395838	0	0	0	0	0	0	0	17.5	0.179712494879	0	0	0
RAB4B	15.8140600735722	17.2991289740128	16.0889525836585	16.9034094413229	18.241226987698	16.8509812089684	16.7967500684209	16.3793884911289	16.8179900506097	15.7110779037184	17	0.420634920634921	16.0889525836585	16.8509812089684	-0.762028625309899
AC104183.2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
C12orf5	16.101774742963	15.2610472061756	15.5941980961046	15.5013558981131	13.0989405558504	15.171735889156	15.1806906083169	16.3822031654635	15.5343078896703	16.3875075144711	10	0.69047619047619	15.5941980961046	15.1806906083169	0.413507487787701
RNF44	19.6302346378751	18.4192749929137	18.9529774890851	16.3334867855069	16.4669894558815	18.7505694898525	17.256134496112	17.7899617971296	18.5222066600508	18.1869051578187	13	1	18.5222066600508	17.7899617971296	0.732244862921199
NUP210P2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
DNAH3	8.3119778916397	0	9.07256295985971	10.1842807210951	0	9.08220155621176	5.88695503905201	6.63304155594602	10.0085729316997	6.14387945275826	11	0.834035229790992	9.07256295985971	5.88695503905201	3.1856079208077
RPL23A	22.2343300241282	22.4753537348898	21.6412589195391	21.5741808288335	23.5023188971837	22.1193228522007	20.9214069032249	22.6902506374745	21.2923321415508	22.2867489070867	16	0.547619047619048	21.6412589195391	22.4753537348898	-0.834094815350699
EHD4-AS1	11.3638217212818	12.1281743331166	0	12.4615315635574	0	11.1360216807148	12.9481402109652	10.3128400111033	13.2855517145806	0	10	0.672335808365955	11.3638217212818	11.1360216807148	0.227800040567001
RPL7L1P12	0	9.88825911484684	0	0	0	0	0	0	0	0	15	0.423710797166793	0	0	0
CH17-38B12.4	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
Y_RNA	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
ARL8B	18.8007850731205	19.2362384791138	18.2206249212143	19.5221118512732	18.795012978736	18.5316346688343	19.3746607308052	19.2341935545621	19.4684700202817	19.2794605403066	9	0.547619047619048	19.2794605403066	19.2341935545621	0.0452669857445009
RP11-166P13.4	8.30972053523435	11.0339068144244	10.1392855525371	9.57498596913272	0	8.08260466534808	8.67100150894033	7.84484932814745	11.4408124427678	11.4524986243602	11	0.841269841269841	10.1392855525371	8.08260466534808	2.05668088718902
CALB2	16.0273750464918	0	12.6904858545125	0	0	12.6552934806584	12.8048836017135	14.9099435178931	0	13.4678718926325	8.5	0.450643727680422	12.6904858545125	12.6552934806584	0.0351923738541
MFSD3	18.5112183483724	19.1418434504807	18.3056269985253	17.5097905343657	21.4846692316913	18.3409562544337	19.4793514666136	19.959698919169	19.2918251867275	19.1572370105048	7	0.30952380952381	18.5112183483724	19.4793514666136	-0.968133118241202
AC092839.4	12.3957082839717	13.4231841067946	0	11.4939423873663	0	10.5835248127384	12.1730814925069	11.3444266128401	12.4433634928925	0	13	1	11.4939423873663	11.3444266128401	0.149515774526199
LINC00636	0	10.6785732408515	0	0	0	0	9.42950278105581	0	0	0	13	1	0	0	0
PIGV	17.2800579138192	16.6299662967693	16.4730747248871	17.9056365621235	17.4914771091901	16.182235076475	16.3650979235041	17.6754921115649	17.5862105709403	18.3406299138372	12	1	17.5862105709403	16.6299662967693	0.956244274170999
RP11-578F21.13	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
PIGFP2	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
CHIAP1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
RP5-1071N3.1	8.09862894332798	12.3691686566919	11.3417887827685	11.0989062569499	0	7.87163559531892	9.45770041888659	12.2120164460365	8.14612179996102	11.302145299447	13	1	11.0989062569499	9.45770041888659	1.64120583806331
RP13-526J3.1	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
ZNF708	15.0826645342047	14.4703422155219	14.7284491118676	14.946873012155	12.3034041862949	14.7669631111059	14.3988105944277	13.8658332942308	14.1640485866024	14.1767029609718	18	0.30952380952381	14.7284491118676	14.3988105944277	0.329638517439902
LINC01224	9.6841529775536	14.8598060882824	7.35415705896719	13.1204117953323	11.1266893025605	0	12.5043691885199	7.22546456705984	11.4310244469199	0	19	0.208690443136964	9.6841529775536	11.1266893025605	-1.4425363250069
RP11-434D2.10	0	0	0	0	0	0	0	0	0	0	12.5	NaN	0	0	0
