ID	TCGA-D5-6534-01A	TCGA-AZ-5403-01A	TCGA-CM-6679-01A	TCGA-DT-5265-01A	TCGA-F4-6805-01A	TCGA-QG-A5YX-01A	TCGA-G4-6586-01A	TCGA-D5-6541-01A	TCGA-DM-A1D4-01A	TCGA-CM-5860-01A	TCGA-T9-A92H-01A	TCGA-CM-4752-01A	TCGA-DY-A0XA-01A	TCGA-AY-6197-01A	TCGA-EI-6882-01A	TCGA-AZ-6601-01A	TCGA-EI-6507-01A	TCGA-DC-6682-01A	TCGA-CL-5918-01A	TCGA-G4-6295-01A	TCGA-DM-A1DB-01A	TCGA-G4-6626-01A	TCGA-AF-A56K-01A	TCGA-D5-6924-01A	TCGA-F5-6465-01A	TCGA-F5-6811-01A	TCGA-EI-6883-01A	TCGA-EI-6506-01A	TCGA-EI-6514-01A	TCGA-AG-4022-01A	TCGA-A6-3810-01A	TCGA-A6-6782-01A	TCGA-DY-A1DC-01A	TCGA-CA-5797-01A	TCGA-CM-6169-01A	TCGA-AG-3592-01A	TCGA-G4-6625-01A	TCGA-NH-A8F7-01A	TCGA-A6-2675-01A	TCGA-AU-3779-01A	TCGA-AF-A56N-01A	TCGA-AA-3496-01A	TCGA-AA-3697-01A	TCGA-CA-6719-01A	TCGA-CA-5256-01A	TCGA-CM-6165-01A
RP11-368I23.2	9.980023647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090843343	0	0	0	0	0	0	10.30674128	0	0	0	0	0	0	0	9.600393171	0	0	0	0	0	0
RP11-742D12.2	6.149652563	0	6.312177029	0	6.865885206	6.457868865	6.560964834	0	0	0	0	0	6.702964421	0	0	0	7.470846476	0	0	0	5.885352654	0	7.492373562	0	0	0	0	0	0	0	8.353073289	0	0	0	0	0	0	8.613453146	0	0	0	0	0	7.583109448	0	0
RAB4B	16.48468429	16.33215945	15.90575053	17.07019122	15.58484051	15.85301167	16.67201139	14.97573809	16.57650444	16.17399288	16.2082475	16.96135315	15.42043096	15.47543658	14.78198685	16.22708093	15.23753458	15.0054053	16.27101484	15.29934665	15.72680543	15.26630081	15.90422335	15.42969361	14.97458614	15.32972244	15.27382335	16.03639727	15.6662279	15.74545182	15.61829818	16.31419399	16.19343611	15.62499129	15.41876481	15.86377769	16.28581848	15.71931218	16.2770693	16.91033759	15.82954706	15.5421372	16.24641737	15.44965485	16.00029756	15.29198433
AC104183.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C12orf5	16.9680004	18.0287853	15.94806367	16.71712135	17.27634725	17.23686298	16.34385679	19.00204132	16.12124004	17.42813074	17.18974637	17.32522966	19.82964108	16.23939639	17.00363505	16.3930702	17.36922164	16.97799369	16.93398213	17.49737538	16.84647896	17.15711654	16.5104584	17.02659598	16.95956607	16.79520802	16.67077045	17.15825858	15.90847736	16.42724696	16.99980472	17.30165691	16.8549693	17.11651262	16.81789402	17.48391677	16.78374261	15.35780118	16.73673073	17.22097984	16.32551955	16.57978853	17.42238674	16.94037431	17.37808702	17.82854415
RNF44	18.3606269	17.65440999	19.17786423	18.4239779	18.41876954	18.07353046	18.41795583	18.57364852	18.69463474	18.14457937	18.91638498	17.76436068	18.82083642	18.62634546	18.16303343	18.40556112	18.38999385	17.99836446	19.00246875	18.89385746	17.80170776	19.33428862	18.60269497	18.87289197	18.8337003	18.71200667	19.09357052	18.75169295	19.19089755	18.54304959	18.31571746	18.86528255	19.11166721	18.43683638	18.56228688	18.494025	18.80042229	19.36191962	18.88605032	18.96639089	18.34997383	19.41790182	18.36157054	18.64772059	18.35224638	18.78462882
NUP210P2	0	0	0	10.85469895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH3	11.97412314	11.71755795	12.13880316	11.14765232	11.62810673	12.60809935	11.65652162	11.87698647	12.77628467	11.02738266	13.4197206	12.09941238	12.74143322	12.85451275	11.39905563	13.05440319	8.917936679	11.74142508	11.62736941	9.60583496	12.83675641	12.80315147	11.0870096	12.00825949	12.95332453	12.06246676	12.49930038	12.17670916	13.73014493	13.77989087	11.90234015	11.49391727	11.85998576	12.6568983	11.8807297	11.65418868	12.02955867	13.57389582	12.37718998	11.88826727	12.54011378	12.13303026	11.83790985	12.69337978	12.49622395	13.69473837
RPL23A	20.88893266	22.38169082	21.78247086	22.36732845	21.93381621	22.1378789	21.82391149	22.13921443	22.12060602	22.27587878	21.8666537	22.76433917	22.70758245	21.9887786	21.08645911	21.48607465	21.96624554	22.78629759	22.31206593	20.67510168	22.17695865	22.30986355	22.2128402	22.22280425	21.68013433	22.16929648	22.71892805	21.62382932	22.44963854	21.84213308	21.91706674	22.50125961	22.24760731	21.56185334	22.07053206	21.81656747	21.34858025	22.36743536	21.76735277	22.55883423	22.09052876	22.64189659	22.20539664	22.53456672	22.90073209	21.10385895
EHD4-AS1	10.4456799	0	10.02578588	10.40394917	0	10.75765427	0	10.52161409	0	9.691962243	10.7997807	12.18123255	10.42059817	12.15558977	0	9.145194767	9.195648922	10.57724027	10.56625065	10.42383675	10.59216762	9.263355668	12.53700548	0	11.55472543	9.309217878	10.7120578	11.55625888	10.8729071	11.19445341	12.66433462	11.18730877	10.48063166	10.05974581	11.45865555	10.39906674	11.84840874	10.3413728	10.51658809	12.06492088	11.68240937	12.11664868	12.06297708	10.30720065	10.58532449	9.412740887
