pathway	sample	count
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM10	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM11	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM12	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM13	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM14	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM15	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM16	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM17	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM18	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM19	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM1	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM20	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM21	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM22	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM23	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM24	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM25	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM26	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM27	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM28	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM29	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM2	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM30	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM31	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM32	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM33	5
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM34	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM35	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM36	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM37	0
KEGG_N_GLYCAN_BIOSYNTHESIS	PGM38	0
