ID	sample
C1orf86:C1orf86	TCGA-CD-A48C-01A
C1orf86:CLCN6	TCGA-CD-A48C-01A
C1orf86:PRAMEF18	TCGA-CD-A48C-01A
C1orf86:CELA2B	TCGA-CD-A48C-01A
C1orf86:PADI2	TCGA-CD-A48C-01A
C1orf86:ZBTB40	TCGA-CD-A48C-01A
C1orf86:TRIM63	TCGA-CD-A48C-01A
C1orf86:FPGT-TNNI3K	TCGA-CD-A48C-01A
C1orf86:GJA8	TCGA-CD-A48C-01A
C1orf86:NBPF11	TCGA-CD-A48C-01A
C1orf86:TMOD4	TCGA-CD-A48C-01A
C1orf86:LCE1F	TCGA-CD-A48C-01A
C1orf86:SHC1	TCGA-CD-A48C-01A
C1orf86:CD1C	TCGA-CD-A48C-01A
C1orf86:KCNT2	TCGA-CD-A48C-01A
C1orf86:ESRRG	TCGA-CD-A48C-01A
C1orf86:OR11L1	TCGA-CD-A48C-01A
C1orf86:OR2AK2	TCGA-CD-A48C-01A
C1orf86:OR2T1	TCGA-CD-A48C-01A
C1orf86:TPO	TCGA-CD-A48C-01A
C1orf86:CDKL4	TCGA-CD-A48C-01A
C1orf86:LRPPRC	TCGA-CD-A48C-01A
C1orf86:NRXN1	TCGA-CD-A48C-01A
C1orf86:ZNF2	TCGA-CD-A48C-01A
C1orf86:CNTNAP5	TCGA-CD-A48C-01A
C1orf86:GYPC	TCGA-CD-A48C-01A
C1orf86:LRP1B	TCGA-CD-A48C-01A
C1orf86:MBD5	TCGA-CD-A48C-01A
C1orf86:FAP	TCGA-CD-A48C-01A
C1orf86:SCN2A	TCGA-CD-A48C-01A
C1orf86:TTN	TCGA-CD-A48C-01A
C1orf86:ZNF804A	TCGA-CD-A48C-01A
C1orf86:DNAH7	TCGA-CD-A48C-01A
C1orf86:CAPN10	TCGA-CD-A48C-01A
C1orf86:FGD5	TCGA-CD-A48C-01A
C1orf86:KAT2B	TCGA-CD-A48C-01A
C1orf86:ZNF385D	TCGA-CD-A48C-01A
C1orf86:ARPP21	TCGA-CD-A48C-01A
C1orf86:TRAK1	TCGA-CD-A48C-01A
C1orf86:EPHA3	TCGA-CD-A48C-01A
C1orf86:EPHA6	TCGA-CD-A48C-01A
C1orf86:IMPG2	TCGA-CD-A48C-01A
C1orf86:EPHB1	TCGA-CD-A48C-01A
C1orf86:TRPC1	TCGA-CD-A48C-01A
C1orf86:U2SURP	TCGA-CD-A48C-01A
C1orf86:P2RY13	TCGA-CD-A48C-01A
C1orf86:BCHE	TCGA-CD-A48C-01A
C1orf86:MECOM	TCGA-CD-A48C-01A
C1orf86:STK32B	TCGA-CD-A48C-01A
C1orf86:SEL1L3	TCGA-CD-A48C-01A
C1orf86:LIMCH1	TCGA-CD-A48C-01A
C1orf86:UGT2B10	TCGA-CD-A48C-01A
C1orf86:SHROOM3	TCGA-CD-A48C-01A
C1orf86:PDHA2	TCGA-CD-A48C-01A
C1orf86:ANK2	TCGA-CD-A48C-01A
C1orf86:PCDH18	TCGA-CD-A48C-01A
C1orf86:TRIML2	TCGA-CD-A48C-01A
C1orf86:6-Mar	TCGA-CD-A48C-01A
C1orf86:DNAH5	TCGA-CD-A48C-01A
C1orf86:PARP8	TCGA-CD-A48C-01A
C1orf86:MAP1B	TCGA-CD-A48C-01A
C1orf86:ADAMTS19	TCGA-CD-A48C-01A
C1orf86:RREB1	TCGA-CD-A48C-01A
C1orf86:COL11A2	TCGA-CD-A48C-01A
C1orf86:DAAM2	TCGA-CD-A48C-01A
C1orf86:KHDRBS2	TCGA-CD-A48C-01A
C1orf86:COL12A1	TCGA-CD-A48C-01A
C1orf86:ARHGAP18	TCGA-CD-A48C-01A
C1orf86:AKAP12	TCGA-CD-A48C-01A
C1orf86:BRAT1	TCGA-CD-A48C-01A
C1orf86:HECW1	TCGA-CD-A48C-01A
C1orf86:GTF2IRD2	TCGA-CD-A48C-01A
C1orf86:ABCB4	TCGA-CD-A48C-01A
C1orf86:TRRAP	TCGA-CD-A48C-01A
C1orf86:RASA4	TCGA-CD-A48C-01A
C1orf86:NUP205	TCGA-CD-A48C-01A
C1orf86:CSMD1	TCGA-CD-A48C-01A
C1orf86:PENK	TCGA-CD-A48C-01A
C1orf86:ZFHX4	TCGA-CD-A48C-01A
C1orf86:CNBD1	TCGA-CD-A48C-01A
C1orf86:NBN	TCGA-CD-A48C-01A
C1orf86:CSMD3	TCGA-CD-A48C-01A
C1orf86:MED30	TCGA-CD-A48C-01A
C1orf86:MYC	TCGA-CD-A48C-01A
C1orf86:BNC2	TCGA-CD-A48C-01A
C1orf86:ASTN2	TCGA-CD-A48C-01A
