	P3	P5	P7	P11	P13	P14	P16	P17	P19	P22	P24	P27	P30	P34	P39	P43	P52	P53	1148190	1160611	1165043	1165731	1175987	1205142	1232209	1232597	1247392	1258650	1261934	1273598	P2	P4	P9	P15	P18	P20	P21	P23	P25	P26	P33	P40	P45	P50	1161524	1185692	1243837	1313158	1337883	1338283	1398479	1406645	1432057	963764	P1	P12	P35	P37	P41	1161135	1391882	1397993	P36	P42	P51	1293013	1411462	rd_P4_T1	rd_P5_T1	rd_P7_T1	rd_P9_T1	rd_P10_T1	rd_P11_T1	rd_P1_T1	rd_P2_T1	rd_P3_T1	rd_P6_T1	rd_P8_T1	rd_P12_T1	rd_P13_T1	rd_P14_T1	F4	F8	F9	F81	F89_342952	F92_340410	F172	F177
APC	40.0952	40.5	0	40.3	40.2237	40.0732	0	40.3169	40.1395	40.0844	40.2885	40.115	40.3043	40.1556	40.7143	0	0	0	40.0988	0	0	0	0	40.1196	40.3333	40.5882	0	40.234	40.359	40.1237	40.1062	40.4559	40.2765	40.3115	40.5176	40.272	40.1582	40.4687	40.3474	40.3023	0	40.6348	40.1743	0	40.3333	0	40.3404	40.3333	40.6154	40.303	0	40.2424	40.5361	40.5263	0	40.2027	0	40.1667	0	0	40.2397	40.2807	40.3171	40.2148	40.45	40.129	0	40.6	40.2105	40.5071	40.1967	40.4341	40.125	40.25	0	0	0	0	40.3988	40.0636	40.05	40.1	40.1	40.1	0	40.1	40.1	40.1	40.1
TP53	0	0	40.432	0	10.1768	0	30.7442	0	10.2639	10.3041	40.2961	0	0	40.2753	30.5315	10.3534	40.125	0	40.099	0	0	10.1325	0	40.1467	10.7625	40.3375	10.6667	0	40.5143	10.2841	10.2368	0	40.2865	0	0	40.4955	40.1447	40.3077	10.5766	0	0	10.619	0	10.3529	40.369	10.1875	0	10.3846	0	10.32	0	40.5071	0	10.6533	0	10.3013	0	0	40.2211	10.3366	0	10.2353	0	0	40.5043	0	0	10.1979	0	0	10.2299	0	30.1295	10.1667	0	0	0	30.4722	0	0	0	40.1	10.1	10.1	0	0	10.1	0	10.1
KRAS	0	0	10.3445	10.17	10.2841	10.1538	0	10.2982	10.2527	10.1604	10.1364	0	10.1558	0	10.3621	0	0	0	0	0	0	0	0	0	0	0	10.7368	0	0	0	0	10.4478	10.3737	10.3247	10.488	0	10.2747	0	10.3429	10.1882	10.4306	0	0	10.274	0	0	10.5	0	10.5714	10.2549	10.103	10.3529	0	0	0	0	0	10.1045	0	0	10.4457	10.2051	0	10.2062	0	0	0	0	10.1316	10.2013	0	0	0	10.182	10.3659	0	0	0	10.4595	10.068	10.1364	10.1	10.1	10.1	10.1	10.1	0	0	0
TTN	0	10.3273	10.2255	0	10.125	10.0971	0	0	10.3597	0	10.0652	0	0	0	10.4556	40.1549	0	10.0429	10.0941	0	0	40.1071	10.2	10.119	0	0	0	10.1574	10.1852	0	0	0	40.1238	0	0	0	10.1787	0	10.3312	40.1645	10.1333	0	10.0814	40.234	0	0	10.3333	0	0	0	0	0	0	0	10.0984	10.0483	10.1681	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	10.0595	0	0	0	0	0	0	10.0779	0	10.1135	0	10.1	0	10.1	10.1	0	0	0
FGF5	30.1885	0	30.1064	30.1185	30.0724	30.117	0	30.0877	30.0992	0	30.092	30.1875	30.0682	0	30.1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.05	30.2222	30.078	0	30.1902	0	30.0558	30.2	230.142	30.1148	30.0505	30.0648	30.183	0	0	0	0	0	0	0	0	0	0	0	30.0804	0	30.0743	30.063	30.1307	0	0	0	30.1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXW7	0	0	0	0	40.2105	40.0881	0	0	10.1654	40.3506	0	0	10.1011	0	30.4938	0	10.1687	0	10.2533	0	0	10.2	0	40.3188	0	0	0	40.2619	0	0	0	0	20.2893	0	10.328	0	0	0	40.6026	0	0	10.4969	0	0	0	0	0	0	10.2835	0	0	10.2581	0	10.7895	0	0	0	40.1154	0	10.4298	0	0	0	0	40.3452	0	0	0	0	0	0	0	40.2317	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	0
MUC4	0	0	0	0	0	10.0096	0	10.0108	0	0	0	10.2105	0	0	0	10.0471	0	0	0	0	120.03	0	0	0	10.0187	10.0537	110.032	0	0	0	0	0	10.0074	10.0542	0	0	40.1677	0	0	10.0167	10.0195	10.122	0	0	0	10.0139	0	10.0994	10.0202	0	0	10.0093	0	10.5714	20.2533	10.0163	0	10.1868	10.0539	0	0	0	0	0	0	0	110.011	0	0	0	0	0	0	0	0	0	0	0	10.0333	0	0	0	0	0	0	0	0	0	0
MUC16	10.1667	0	0	0	0	10.0568	0	0	10.0917	0	0	0	0	0	0	10.0813	0	40.216	0	40.24	10.0667	0	10.1875	10.1351	10.312	0	0	0	0	0	0	0	10.0336	0	0	0	40.1882	0	0	0	10.2065	0	40.0303	10.2609	0	0	0	10.0465	10.2574	0	0	0	0	10.0505	0	0	0	10.1145	0	0	0	110.212	10.038	0	0	0	110.029	0	0	0	0	0	0	0	10.4471	0	0	0	0	0	0	0	10.1	0	0	0	0	0	0
NBPF10	10.021	10.1228	0	0	0	0	110.044	10.075	0	10.0699	0	0	10.0986	10.0221	0	10.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2222	10.0665	0	0	10.0781	0	10.0691	10.0475	10.0387	10.1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1139	0	0	0	10.0571	0	10.0424	0	0	0	0	0	0	0	0	0	10.2453	0	0	0	0	0	0	0	0	0	0
AHNAK2	0	0	0	0	0	10.0129	0	0	0	0	0	0	0	0	0	10.0468	0	0	0	0	10.1951	0	0	10.051	0	0	0	10.0194	0	0	210.19	0	0	0	0	10.0633	0	20.0247	0	10.0286	0	0	0	0	10.0503	0	0	0	10.0273	0	0	10.0259	0	110.037	0	0	0	0	10.0179	0	0	0	0	0	0	10.0494	0	0	0	0	0	0	10.0435	0	0	0	0	0	0	0	10.1364	0	10.1	0	0	0	0	0	0
MUC12	0	10.0412	10.3125	0	0	10.0952	10.0078	0	0	10.0222	0	0	10.0645	0	0	0	0	0	0	0	0	0	0	10.0171	0	0	0	0	0	0	0	0	10.0459	0	0	0	10.015	10.1967	0	0	10.0556	0	0	0	0	0	10.0151	0	10.0307	0	0	0	0	0	0	0	0	10.1028	0	0	0	0	0	0	0	0	110.29	0	0	0	0	0	0	10.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2T2	0	0	0	40.0205	10.1157	0	0	0	40.0566	0	0	0	0	0	0	0	0	0	0	0	0	40.0377	0	0	0	0	0	140.042	0	0	0	0	0	40.0923	0	0	0	0	0	40.0251	0	0	0	0	0	10.0466	0	0	0	0	0	40.1	0	0	40.0585	0	40.0344	0	0	0	0	0	0	40.0495	0	40.1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0404	0	0	0	0	0	0	0	0
