	P3	P5	P7	P11	P13	P14	P16	P17	P19	P22	P24	P27	P30	P34	P39	P43	P52	P53	1148190	1160611	1165043	1165731	1175987	1205142	1232209	1232597	1247392	1258650	1261934	1273598	P2	P4	P9	P15	P18	P20	P21	P23	P25	P26	P33	P40	P45	P50	1161524	1185692	1243837	1313158	1337883	1338283	1398479	1406645	1432057	963764	P1	P12	P35	P37	P41	1161135	1391882	1397993	P36	P42	P51	1293013	1411462	rd_P4_T1	rd_P5_T1	rd_P7_T1	rd_P9_T1	rd_P10_T1	rd_P11_T1	rd_P1_T1	rd_P2_T1	rd_P3_T1	rd_P6_T1	rd_P8_T1	rd_P12_T1	rd_P13_T1	rd_P14_T1	F4	F8	F9	F81	F89_342952	F92_340410	F172	F177
KEGG_ABC_TRANSPORTERS	0	0	0	0	0	-1.842951032	0	-0.06097561	-0.478244561	-0.652173914	0	-0.460963455	-0.869565217	0.178571429	0.161290323	-0.930540827	0	0	0	0	0	0	0	0	0	0.535714286	-0.639534884	0	0	0	0	0	1.638198758	-0.06097561	-0.639534884	0	2.529562473	0	0.925925926	0	0.161290323	-0.06097561	0.806451613	6.842585174	0	0	0.925925926	0.925925926	0	0.806451613	0	0.178571429	0	1.087216249	0	0	0	2.566783317	-0.639534884	0	0	0	0	0	0	0	0.599838969	0	0	0	0	0	0	0	0	0	0	-0.769230769	0.161290323	0	-0.639534884	0.161290323	-0.326086957	0	0.806451613	0.161290323	0	0.806451613	0
KEGG_N_GLYCAN_BIOSYNTHESIS	0	0	0	-0.326086957	0.178571429	-1.538461538	0	-0.769230769	-0.70754717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892857143	0	0	0	2.714165305	0	0	0	0	0	0	0.449308756	0	0	0	0	0	0.925925926	0	0.892857143	0	0	0	0	0	-2.97493995	0	0	0	0	-0.769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG_OTHER_GLYCAN_DEGRADATION	0.535714286	0	0	0	0	0	0	0	-0.869565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161290323	0	2.148617512	0	0	0	0	0	0	2.419354839	0	0.535714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161290323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.806451613	0	0	0	0	0	0
KEGG_O_GLYCAN_BIOSYNTHESIS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161290323	0	0	0.806451613	0	0	0	0.697004609	0	0	0	0.194805195	0	0	3.351474294	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.042599375	0	0	0	0	-0.53030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161290323	0	0	0	0	0	0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0	0	0	0	0	-0.869565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.449156595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.126373626	0	-0.769230769	0	0	0	0.925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.769230769	0	0	0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161290323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.676232369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KEGG_GLYCEROLIPID_METABOLISM	0	0	0	0	0	-0.233516483	-0.326086957	-1.095317726	-0.909090909	0	0	0	0	0	0	-0.869565217	0	-0.869565217	0	0	0	0	0	0	0.161290323	0	0	0	0	0	0	0	-0.70754717	0	0	0	3.569363359	0	0	0	0	0	0	2.667050692	0.892857143	0	0	0	0.892857143	0	0	0	0	0.161290323	0	0	0.806451613	0.377358491	0	0	-0.326086957	0	0	0	-0.70754717	0	0	0	0	-0.607940446	0	0	0	0	0	0	0	-0.70754717	0	0	0.892857143	0	0	0	0	0	0	-0.769230769	0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0	0	-0.930232558	0	0	-0.930232558	0	0	0.161290323	0	0	0	0	0	-0.088495575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967741936	0	0	0	0	0.806451613	0	0	0	0.925925926	0	0	0	0.925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.930232558	0	0	0	0	0	0	0	0.161290323	0	0	0	0	0	0	0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0	0	0	0.161290323	0	-0.769230769	-0.326086957	-0.326086957	-0.909090909	0	0	-0.769230769	0	0	0	-0.869565217	0	-0.869565217	0	0	0	0	0	0	0.161290323	0	-0.53030303	0	0	0	0	0	-0.70754717	0	0	0	3.800591064	0	0	0	0	0	0	1.054147466	0.892857143	0	0	0	0	0	0	0	0	0.161290323	0	0	0.967741936	0.892857143	0	0	-0.477602109	0	0	0	-0.70754717	0	0	0	0	-0.607940446	0	0	0	0	0	0	0	-0.70754717	0	0	0.892857143	0	0.161290323	0	0	0	0	-0.769230769	-0.471698113
KEGG_ETHER_LIPID_METABOLISM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53030303	0	0	0	0	0	0	0	0	0	1.774193549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161290323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.164796634	0	0	0	0	0	0
