sample	order
GPI	1
NDUFB6	2
ANXA7	3
PRSS15	4
CA9	5
PHD3	6
TRAP1	7
MIF	9
ALDOA	10
LDHA	11
PGK1	12
ADM	13
DDIT4	14
ACOT7	15
PFKP	16
SLC25A32	17
KDR	18
LDB2	19
S1PR1	20
MEF2C	21
ITGA9	22
GPR116	24
GNG11	25
EMCN	26
CALCRL	27
CDH5	28
SELE	29
CD34	30
TEK	31
SELP	32
TIE1	34
VEGFC	35
NRP1	36
ENG	37
TFPI	38
LAMC2	39
EPHA2	40
ICAM1	41
VCAM1	42
PECAM1	45
VEGFA	46
SLC2A1	47
PGAM1	48
ENO1	49
TPI1	50
P4HA1	51
MRPS17	52
CDKN3	53
NDRG1	54
TUBB6	55
MCTS1	56
PSRC1	57
PSMA7	58
ANLN	59
TUBA1B	60
MAD2L2	61
TUBA1C	62
MAP7D1	63
BNIP3	64
C20orf20	65
HIG2	66
GAPDH	67
MRPL13	68
CHCHD2	69
YKT6	70
NP	71
CORO1C	72
SEC61G	73
ANKRD37	74
ESRP1	75
SHCBP1	76
CTSL2	77
KIF20A	78
UTP11L	79
SLC16A1	80
MRPL15	81
KIF4A	82
LRRC42	83
HK2	84
AK3L1	85
