NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
VITAMIN DIGESTION AND ABSORPTION	VITAMIN DIGESTION AND ABSORPTION	Details ...	23	0.6437178	1.9772701	0.0060975607	0.2933367	0.086	3306	tags=48%, list=17%, signal=58%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	Details ...	25	0.6048708	1.9076751	0.02208202	0.27475297	0.142	2755	tags=48%, list=14%, signal=56%	
OLFACTORY TRANSDUCTION	OLFACTORY TRANSDUCTION	Details ...	401	0.72759783	1.8961254	0.20348836	0.20779203	0.162	4501	tags=89%, list=23%, signal=113%	
TASTE TRANSDUCTION	TASTE TRANSDUCTION	Details ...	82	0.4703183	1.7074987	0.2	0.7433447	0.46	4635	tags=49%, list=24%, signal=64%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	Details ...	40	0.46889916	1.687291	0.014044944	0.69750947	0.509	2755	tags=33%, list=14%, signal=38%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	31	0.52277344	1.6660339	0.058309037	0.67512053	0.55	2935	tags=45%, list=15%, signal=53%	
STEROID HORMONE BIOSYNTHESIS	STEROID HORMONE BIOSYNTHESIS	Details ...	57	0.44491184	1.6150244	0.09727626	0.8312966	0.636	4963	tags=46%, list=26%, signal=61%	
PHOTOTRANSDUCTION	PHOTOTRANSDUCTION	Details ...	26	0.48441505	1.5973783	0.07861635	0.8153221	0.655	7775	tags=65%, list=40%, signal=109%	
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	NEUROACTIVE LIGAND-RECEPTOR INTERACTION	Details ...	335	0.39905164	1.5686907	0.2635135	0.8849766	0.697	5918	tags=48%, list=30%, signal=68%	
NICOTINE ADDICTION	NICOTINE ADDICTION	Details ...	40	0.5131771	1.5549773	0.23976608	0.86756074	0.715	5918	tags=65%, list=30%, signal=93%	
OVARIAN STEROIDOGENESIS	OVARIAN STEROIDOGENESIS	Details ...	48	0.39054984	1.4754457	0.08580858	1.0	0.8	5728	tags=42%, list=29%, signal=59%	
SYNAPTIC VESICLE CYCLE	SYNAPTIC VESICLE CYCLE	Details ...	78	0.35148507	1.4395907	0.03880597	1.0	0.837	8016	tags=47%, list=41%, signal=80%	
ALCOHOLISM	ALCOHOLISM	Details ...	172	0.35985324	1.4338793	0.07586207	1.0	0.843	7133	tags=45%, list=37%, signal=71%	
BILE SECRETION	BILE SECRETION	Details ...	72	0.36052477	1.4282477	0.06363636	1.0	0.847	3590	tags=29%, list=18%, signal=36%	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES	Details ...	76	0.34427083	1.4165452	0.072607264	1.0	0.851	5173	tags=33%, list=27%, signal=45%	
BASAL CELL CARCINOMA	BASAL CELL CARCINOMA	Details ...	63	0.39065257	1.3894175	0.09422492	1.0	0.863	6709	tags=48%, list=35%, signal=73%	
COCAINE ADDICTION	COCAINE ADDICTION	Details ...	49	0.3628682	1.3770752	0.07255521	1.0	0.873	6256	tags=41%, list=32%, signal=60%	
ESTROGEN SIGNALING PATHWAY	ESTROGEN SIGNALING PATHWAY	Details ...	136	0.30715698	1.3481139	0.07453416	1.0	0.887	5934	tags=33%, list=31%, signal=47%	
RETINOL METABOLISM	RETINOL METABOLISM	Details ...	62	0.38652027	1.343323	0.19064748	1.0	0.888	5470	tags=40%, list=28%, signal=56%	
GABAERGIC SYNAPSE	GABAERGIC SYNAPSE	Details ...	89	0.35083395	1.3105847	0.15606937	1.0	0.902	5122	tags=37%, list=26%, signal=50%	
N-GLYCAN BIOSYNTHESIS	N-GLYCAN BIOSYNTHESIS		49	0.4273443	1.2979331	0.17772512	1.0	0.911	7823	tags=55%, list=40%, signal=92%	
GLYCOSAMINOGLYCAN BIOSYNTHESIS - HEPARAN SULFATE / HEPARIN	GLYCOSAMINOGLYCAN BIOSYNTHESIS - HEPARAN SULFATE / HEPARIN		24	0.40599877	1.2872407	0.16761364	1.0	0.915	6090	tags=46%, list=31%, signal=67%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM		31	0.39388373	1.2804799	0.13783784	1.0	0.919	5846	tags=42%, list=30%, signal=60%	
CUSHING SYNDROME	CUSHING SYNDROME		155	0.31828868	1.2748758	0.15197569	1.0	0.919	6571	tags=37%, list=34%, signal=56%	
FANCONI ANEMIA PATHWAY	FANCONI ANEMIA PATHWAY		50	0.45569676	1.2712346	0.22413793	1.0	0.921	8147	tags=68%, list=42%, signal=117%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION		37	0.45812142	1.254846	0.24395604	1.0	0.924	5746	tags=51%, list=30%, signal=73%	
BREAST CANCER	BREAST CANCER		147	0.3115765	1.2470692	0.16480447	1.0	0.93	6608	tags=37%, list=34%, signal=55%	
PRIMARY BILE ACID BIOSYNTHESIS	PRIMARY BILE ACID BIOSYNTHESIS		17	0.41558096	1.2448155	0.18354431	1.0	0.93	9314	tags=76%, list=48%, signal=147%	
HIPPO SIGNALING PATHWAY	HIPPO SIGNALING PATHWAY		151	0.32424667	1.2252823	0.18384402	1.0	0.937	5896	tags=34%, list=30%, signal=49%	
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM		29	0.3281771	1.2228816	0.1633987	1.0	0.939	2194	tags=21%, list=11%, signal=23%	
CARBOHYDRATE DIGESTION AND ABSORPTION	CARBOHYDRATE DIGESTION AND ABSORPTION		42	0.34870598	1.2075794	0.21333334	1.0	0.948	3614	tags=29%, list=19%, signal=35%	
OOCYTE MEIOSIS	OOCYTE MEIOSIS		121	0.32958385	1.2067975	0.21686748	1.0	0.948	7400	tags=44%, list=38%, signal=70%	
GLYCINE  SERINE AND THREONINE METABOLISM	GLYCINE  SERINE AND THREONINE METABOLISM		39	0.33495736	1.1997372	0.19536424	1.0	0.95	7133	tags=46%, list=37%, signal=73%	
NATURAL KILLER CELL MEDIATED CYTOTOXICITY	NATURAL KILLER CELL MEDIATED CYTOTOXICITY		122	0.34014237	1.1880211	0.2835821	1.0	0.954	4594	tags=32%, list=24%, signal=42%	
PURINE METABOLISM	PURINE METABOLISM		123	0.2711873	1.1812637	0.18018018	1.0	0.958	8505	tags=48%, list=44%, signal=85%	
GASTRIC CANCER	GASTRIC CANCER		147	0.28354254	1.1613957	0.231454	1.0	0.96	9557	tags=54%, list=49%, signal=105%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM		34	0.33781558	1.156583	0.23417722	1.0	0.963	4698	tags=29%, list=24%, signal=39%	
MINERAL ABSORPTION	MINERAL ABSORPTION		52	0.32906935	1.1555067	0.299639	1.0	0.963	7004	tags=42%, list=36%, signal=66%	
