NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES	Details ...	76	0.38504377	1.5957972	0.020833334	1.0	0.646	4460	tags=41%, list=23%, signal=53%	
PEROXISOME	PEROXISOME	Details ...	82	0.41231093	1.5000458	0.07	1.0	0.775	4460	tags=44%, list=23%, signal=57%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	31	0.4483416	1.4371159	0.1554878	1.0	0.821	4557	tags=45%, list=23%, signal=59%	
FANCONI ANEMIA PATHWAY	FANCONI ANEMIA PATHWAY	Details ...	50	0.50476456	1.4177396	0.16182573	1.0	0.84	4090	tags=50%, list=21%, signal=63%	
HUNTINGTON DISEASE	HUNTINGTON DISEASE	Details ...	174	0.35863748	1.3600595	0.118329465	1.0	0.882	4541	tags=40%, list=23%, signal=51%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	Details ...	25	0.43961245	1.3581378	0.19375	1.0	0.884	3142	tags=28%, list=16%, signal=33%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM	Details ...	55	0.35017863	1.3512261	0.10174418	1.0	0.888	4420	tags=44%, list=23%, signal=56%	
ALCOHOLISM	ALCOHOLISM	Details ...	172	0.32740197	1.3504303	0.12542373	1.0	0.888	3703	tags=33%, list=19%, signal=41%	
DRUG METABOLISM - CYTOCHROME P450	DRUG METABOLISM - CYTOCHROME P450	Details ...	66	0.3525279	1.3175491	0.18151815	1.0	0.907	3774	tags=35%, list=19%, signal=43%	
CELL CYCLE	CELL CYCLE	Details ...	124	0.43194067	1.3086116	0.22394678	1.0	0.913	3401	tags=39%, list=18%, signal=47%	
SYSTEMIC LUPUS ERYTHEMATOSUS	SYSTEMIC LUPUS ERYTHEMATOSUS	Details ...	122	0.37170202	1.3056493	0.18674698	0.92508584	0.915	3424	tags=37%, list=18%, signal=44%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR	Details ...	33	0.4741642	1.2932411	0.22538294	0.89296955	0.923	4459	tags=48%, list=23%, signal=63%	
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	Details ...	70	0.32550538	1.2528071	0.22560975	0.9733426	0.943	3774	tags=34%, list=19%, signal=42%	
BILE SECRETION	BILE SECRETION	Details ...	72	0.31777853	1.2515472	0.12844037	0.90891695	0.943	2825	tags=26%, list=15%, signal=31%	
PARKINSON DISEASE	PARKINSON DISEASE	Details ...	113	0.37711048	1.2301966	0.23728813	0.9251744	0.949	3730	tags=37%, list=19%, signal=46%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	23	0.49917883	1.2076685	0.31019524	0.9432198	0.953	6075	tags=74%, list=31%, signal=107%	
STEROID BIOSYNTHESIS	STEROID BIOSYNTHESIS	Details ...	19	0.4514352	1.2057924	0.2710027	0.8943919	0.953	4181	tags=53%, list=22%, signal=67%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	44	0.41827306	1.1886536	0.2991453	0.8950634	0.956	3467	tags=36%, list=18%, signal=44%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	104	0.38368958	1.1877637	0.29979035	0.8505981	0.956	4847	tags=44%, list=25%, signal=59%	
RNA TRANSPORT	RNA TRANSPORT	Details ...	157	0.3674511	1.1727201	0.32635984	0.8505951	0.959	4105	tags=34%, list=21%, signal=43%	
DNA REPLICATION	DNA REPLICATION		36	0.4973653	1.1703181	0.35560346	0.81666446	0.96	4779	tags=47%, list=25%, signal=63%	
PROGESTERONE-MEDIATED OOCYTE MATURATION	PROGESTERONE-MEDIATED OOCYTE MATURATION		94	0.32112172	1.1584188	0.28538814	0.81201583	0.964	3168	tags=30%, list=16%, signal=35%	
RIBOSOME BIOGENESIS IN EUKARYOTES	RIBOSOME BIOGENESIS IN EUKARYOTES		74	0.3959286	1.1501355	0.35897437	0.79866695	0.964	5972	tags=54%, list=31%, signal=78%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		24	0.3571537	1.1464902	0.27525252	0.7754811	0.967	5639	tags=50%, list=29%, signal=70%	
NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD)	NON-ALCOHOLIC FATTY LIVER DISEASE (NAFLD)		144	0.3124013	1.1451687	0.28636363	0.7486396	0.967	3573	tags=31%, list=18%, signal=37%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION		37	0.41689354	1.1277221	0.37310195	0.7616657	0.969	6372	tags=65%, list=33%, signal=96%	
THERMOGENESIS	THERMOGENESIS		202	0.2813834	1.1217561	0.28639618	0.74784297	0.969	3730	tags=29%, list=19%, signal=35%	
SPLICEOSOME	SPLICEOSOME		132	0.37126672	1.1167333	0.38123754	0.733251	0.97	4608	tags=42%, list=24%, signal=55%	
MATURITY ONSET DIABETES OF THE YOUNG	MATURITY ONSET DIABETES OF THE YOUNG		26	0.3584889	1.112757	0.32228917	0.71712345	0.972	4100	tags=50%, list=21%, signal=63%	
ALZHEIMER DISEASE	ALZHEIMER DISEASE		150	0.295568	1.1037087	0.30804598	0.7133903	0.972	4847	tags=39%, list=25%, signal=52%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR		45	0.39553767	1.1023388	0.38362068	0.6936208	0.972	6075	tags=53%, list=31%, signal=77%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		39	0.33591297	1.0993161	0.34170854	0.67915815	0.973	4469	tags=33%, list=23%, signal=43%	
PROTEASOME	PROTEASOME		44	0.45179036	1.0838894	0.4164905	0.69126517	0.976	4793	tags=55%, list=25%, signal=72%	
CHEMICAL CARCINOGENESIS	CHEMICAL CARCINOGENESIS		75	0.28454405	1.0706273	0.36190477	0.69896066	0.978	3774	tags=31%, list=19%, signal=38%	
GLYCINE  SERINE AND THREONINE METABOLISM	GLYCINE  SERINE AND THREONINE METABOLISM		39	0.3060349	1.0690957	0.3618421	0.6821959	0.978	1518	tags=21%, list=8%, signal=22%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY		30	0.32483786	1.062986	0.3654321	0.67631596	0.978	3316	tags=30%, list=17%, signal=36%	
VIRAL CARCINOGENESIS	VIRAL CARCINOGENESIS		199	0.27566138	1.0566355	0.39030612	0.6715551	0.98	4222	tags=35%, list=22%, signal=44%	
MRNA SURVEILLANCE PATHWAY	MRNA SURVEILLANCE PATHWAY		90	0.31743547	1.0495348	0.410101	0.66867006	0.981	4492	tags=38%, list=23%, signal=49%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM		40	0.27717	1.0220487	0.42631578	0.70842755	0.985	3272	tags=23%, list=17%, signal=27%	
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION		82	0.2535396	1.0063983	0.41955835	0.72468746	0.988	3740	tags=26%, list=19%, signal=32%	
ALPHA-LINOLENIC ACID METABOLISM	ALPHA-LINOLENIC ACID METABOLISM		23	0.2769095	0.97614187	0.4520548	0.77154416	0.992	3721	tags=26%, list=19%, signal=32%	
PLATINUM DRUG RESISTANCE	PLATINUM DRUG RESISTANCE		72	0.2668276	0.97585636	0.47775176	0.75388205	0.992	3955	tags=31%, list=20%, signal=38%	
SELENOCOMPOUND METABOLISM	SELENOCOMPOUND METABOLISM		15	0.353034	0.96139145	0.5135135	0.76647896	0.994	1713	tags=27%, list=9%, signal=29%	
ANTIFOLATE RESISTANCE	ANTIFOLATE RESISTANCE		30	0.29930303	0.9553539	0.5235602	0.76173663	0.994	4025	tags=37%, list=21%, signal=46%	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM		29	0.31158912	0.9378263	0.526699	0.78132665	0.995	2145	tags=24%, list=11%, signal=27%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS		22	0.3428832	0.93373924	0.53674835	0.77316135	0.995	5275	tags=45%, list=27%, signal=62%	
BASAL TRANSCRIPTION FACTORS	BASAL TRANSCRIPTION FACTORS		44	0.3099671	0.9103056	0.5714286	0.8051756	0.995	4660	tags=36%, list=24%, signal=48%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM		23	0.27249065	0.9059564	0.57831323	0.79694307	0.995	3756	tags=30%, list=19%, signal=38%	
BIOSYNTHESIS OF UNSATURATED FATTY ACIDS	BIOSYNTHESIS OF UNSATURATED FATTY ACIDS		27	0.27680588	0.9021756	0.6004963	0.7890278	0.995	359	tags=11%, list=2%, signal=11%	
RNA POLYMERASE	RNA POLYMERASE		31	0.3251513	0.89650047	0.54226804	0.78477705	0.995	2183	tags=23%, list=11%, signal=25%	
FAT DIGESTION AND ABSORPTION	FAT DIGESTION AND ABSORPTION		41	0.2650697	0.8861735	0.5797665	0.79047716	0.996	3423	tags=29%, list=18%, signal=35%	
GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS	GLYCOSYLPHOSPHATIDYLINOSITOL (GPI)-ANCHOR BIOSYNTHESIS		25	0.3110679	0.8844537	0.6081371	0.77871114	0.996	4891	tags=40%, list=25%, signal=53%	
LYSINE DEGRADATION	LYSINE DEGRADATION		57	0.28183538	0.8798932	0.6065217	0.77239907	0.996	4849	tags=33%, list=25%, signal=44%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM		56	0.24106875	0.8695664	0.654321	0.77859527	0.997	2366	tags=18%, list=12%, signal=20%	
CARBON METABOLISM	CARBON METABOLISM		115	0.24286918	0.86477524	0.5970149	0.7733176	0.997	3721	tags=27%, list=19%, signal=33%	
PROXIMAL TUBULE BICARBONATE RECLAMATION	PROXIMAL TUBULE BICARBONATE RECLAMATION		23	0.27246186	0.8608976	0.6645768	0.7679298	0.997	3740	tags=30%, list=19%, signal=38%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM		33	0.29767206	0.84969187	0.5911215	0.77486396	0.997	4345	tags=39%, list=22%, signal=51%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM		61	0.23818617	0.8423342	0.66843504	0.7748098	0.997	3534	tags=28%, list=18%, signal=34%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM		48	0.21872142	0.8212536	0.7537538	0.80257165	0.999	2382	tags=17%, list=12%, signal=19%	
RNA DEGRADATION	RNA DEGRADATION		74	0.24904993	0.8172966	0.6788618	0.79653794	1.0	2577	tags=19%, list=13%, signal=22%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		94	0.1942605	0.8048135	0.78635013	0.80676615	1.0	4813	tags=30%, list=25%, signal=39%	
OOCYTE MEIOSIS	OOCYTE MEIOSIS		121	0.21644045	0.79033756	0.73995274	0.8190996	1.0	3275	tags=24%, list=17%, signal=29%	
RETROGRADE ENDOCANNABINOID SIGNALING	RETROGRADE ENDOCANNABINOID SIGNALING		140	0.18296942	0.78189725	0.8406593	0.8212393	1.0	3396	tags=21%, list=17%, signal=26%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)		30	0.3035358	0.77936125	0.6750524	0.8130703	1.0	2484	tags=23%, list=13%, signal=27%	
LINOLEIC ACID METABOLISM	LINOLEIC ACID METABOLISM		27	0.22614825	0.7750089	0.77916664	0.809675	1.0	3521	tags=22%, list=18%, signal=27%	
RETINOL METABOLISM	RETINOL METABOLISM		62	0.2237325	0.7702215	0.68248177	0.8063798	1.0	3688	tags=29%, list=19%, signal=36%	
