ID	Support	Type
Abdominal pain	0.31	Symptom
Borborygmus	0.3	Symptom
Chordal pulse	0.15	Symptom
Clearing damp	0.18	Symptom
Dark red tongue	0.06	Symptom
Dry Mouth	0.13	Symptom
Dry Stool	0.91	Symptom
Dry coating	0.22	Symptom
Elongation of defecation time	0.58	Symptom
FOBT positive	0.43	Symptom
Fatigue	0.28	Symptom
Fever	0.22	Symptom
Fissured tongue	0.06	Symptom
Frequent Micturition	0.09	Symptom
Halitosis	0.19	Symptom
Insomnia	0.11	Symptom
Less defecation	0.49	Symptom
Lumbar Debility	0.27	Symptom
Oliguria	0.06	Symptom
Plump and Tooth-marked tongue	0.03	Symptom
Rapid pulse	0.33	Symptom
Red Complexion	0.28	Symptom
Red Tongue	0.22	Symptom
Slight yellow fur	0.31	Symptom
Slippery pulse	0.25	Symptom
Sweat	0.15	Symptom
Thin tongue	0.03	Symptom
Thready pulse	0.12	Symptom
Tinnitus	0.09	Symptom
Urgent Micturition	0.06	Symptom
Urine yellow	0.15	Symptom
Urodynia	0.15	Symptom
Vexation	0.24	Symptom
Vexation，Insomnia	0.01	Symptom
White and greasy fur	0.15	Symptom
Mangxiao	0.49	Herb
Dangshen	0.49	Herb
Muxiang	0.49	Herb
Xuanshen	0.25	Herb
Sharen	0.24	Herb
Huangqi	0.25	Herb
Laifuzi	0.33	Herb
Shengdi	0.22	Herb
Chaihu	0.27	Herb
Diyu	0.15	Herb
Baizhu	0.16	Herb
bdominal distension	0.01	Symptom
rapid pulse	0.01	Symptom
