Term	P-Value	Type
Pathways in cancer	1.52E-34	cancer
Human cytomegalovirus infection	4.74E-33	cancer
MAPK signaling pathway	2.88E-28	cancer
Dopaminergic synapse	7.64E-27	cancer
Circadian entrainment	1.09E-26	cancer
Retrograde endocannabinoid signaling	2.55E-24	cancer
Neuroactive ligand-receptor interaction	3.08E-24	cancer
PI3K-Akt signaling pathway	1.10E-23	cancer
Human immunodeficiency virus 1 infection	1.93E-23	cancer
Human T-cell leukemia virus 1 infection	4.11E-23	cancer
Alzheimer disease	5.53E-23	cancer
Serotonergic synapse	2.14E-22	cancer
cAMP signaling pathway	4.09E-22	cancer
Amphetamine addiction	6.58E-22	cancer
Gap junction	1.35E-21	cancer
HIF-1 signaling pathway	1.99E-21	cancer
Glutamatergic synapse	4.40E-21	cancer
Kaposi sarcoma-associated herpesvirus infection	5.95E-21	cancer
Proteoglycans in cancer	3.57E-20	cancer
Relaxin signaling pathway	4.49E-20	cancer
Cholinergic synapse	7.53E-20	cancer
Estrogen signaling pathway	1.30E-19	cancer
Sphingolipid signaling pathway	2.09E-19	cancer
Cocaine addiction	2.79E-19	cancer
Oxytocin signaling pathway	8.12E-19	cancer
Alcoholism	9.06E-19	cancer
@@Parkinson disease	2.12E-14	other
GABAergic synapse	1.14E-18	other
GnRH signaling pathway	2.19E-18	other
Cushing syndrome	1.81E-17	other
Toxoplasmosis	4.10E-17	other
cGMP-PKG signaling pathway	6.37E-17	other
Human papillomavirus infection	6.73E-17	other
Hepatocellular carcinoma	7.05E-17	other
Ras signaling pathway	1.04E-16	other
Endocrine resistance	1.09E-16	other
@@Axon guidance	1.03E-07	other
Adrenergic signaling in cardiomyocytes	1.61E-16	other
Melanogenesis	1.67E-16	other
Rap1 signaling pathway	2.27E-16	other
Hepatitis C	3.04E-16	other
"Parathyroid hormone synthesis, secretion and action"	3.31E-16	other
Metabolic pathways	3.73E-16	other
Vascular smooth muscle contraction	4.28E-16	other
Long-term potentiation	4.35E-16	other
Hepatitis B	6.81E-16	other
Apelin signaling pathway	7.51E-16	other
AGE-RAGE signaling pathway in diabetic complications	3.06E-15	other
Long-term depression	3.27E-15	other
Chemokine signaling pathway	7.91E-15	other
ErbB signaling pathway	8.12E-15	other
Colorectal cancer	9.39E-15	other
Insulin secretion	9.39E-15	other
Calcium signaling pathway	1.02E-14	other
Apoptosis	1.15E-14	other
Viral carcinogenesis	1.94E-14	other
Glioma	4.15E-14	other
Aldosterone synthesis and secretion	4.74E-14	other
Chagas disease (American trypanosomiasis)	8.80E-14	other
@@VEGF signaling pathway	3.53E-07	other
Huntington disease	1.33E-13	other
Morphine addiction	3.84E-13	other
Breast cancer	5.21E-13	other
Neurotrophin signaling pathway	5.31E-13	other
Prostate cancer	8.02E-13	other
mTOR signaling pathway	8.88E-13	other
Gastric acid secretion	9.32E-13	other
Choline metabolism in cancer	1.02E-12	other
Osteoclast differentiation	1.32E-12	other
EGFR tyrosine kinase inhibitor resistance	1.62E-12	other
FoxO signaling pathway	1.93E-12	other
Epstein-Barr virus infection	2.94E-12	other
Fluid shear stress and atherosclerosis	3.67E-12	other
TNF signaling pathway	4.23E-12	other
Non-small cell lung cancer	5.62E-12	other
Pancreatic cancer	1.95E-11	other
Autophagy - animal	1.98E-11	other
Oocyte meiosis	1.98E-11	other
Inflammatory mediator regulation of TRP channels	1.99E-11	other
Pertussis	2.22E-11	other
Focal adhesion	2.91E-11	other
Measles	4.71E-11	other
Tuberculosis	8.46E-11	other
Acute myeloid leukemia	1.21E-10	other
Thyroid hormone signaling pathway	1.28E-10	other
Transcriptional misregulation in cancer	1.36E-10	other
Type II diabetes mellitus	1.38E-10	other
Phagosome	1.44E-10	other
Amoebiasis	1.96E-10	other
Thermogenesis	2.07E-10	other
Amyotrophic lateral sclerosis (ALS)	3.10E-10	other
Thyroid hormone synthesis	3.35E-10	other
Influenza A	4.23E-10	other
Chronic myeloid leukemia	4.24E-10	other
Antigen processing and presentation	4.76E-10	other
Tight junction	5.19E-10	other
Synaptic vesicle cycle	5.34E-10	other
Insulin signaling pathway	5.71E-10	other
NOD-like receptor signaling pathway	8.78E-10	other
Non-alcoholic fatty liver disease (NAFLD)	1.39E-09	other
Gastric cancer	1.39E-09	other
Salivary secretion	1.90E-09	other
Yersinia infection	2.09E-09	other
IL-17 signaling pathway	2.55E-09	other
Prolactin signaling pathway	3.86E-09	other
Pancreatic secretion	4.06E-09	other
@@Wnt signaling pathway	3.14E-08	other
Melanoma	4.83E-09	other
MicroRNAs in cancer	5.83E-09	other
T cell receptor signaling pathway	6.32E-09	other
C-type lectin receptor signaling pathway	6.88E-09	other
Th17 cell differentiation	8.86E-09	other
Leukocyte transendothelial migration	1.33E-08	other
Endometrial cancer	1.74E-08	other
Thyroid cancer	1.97E-08	other
Longevity regulating pathway - multiple species	2.79E-08	other
Endocytosis	3.10E-08	other
Cellular senescence	3.14E-08	other
Nicotine addiction	3.18E-08	other
Th1 and Th2 cell differentiation	3.43E-08	other
Bladder cancer	3.71E-08	other
Small cell lung cancer	3.74E-08	other
Cortisol synthesis and secretion	3.91E-08	other
Protein processing in endoplasmic reticulum	4.22E-08	other
Fc epsilon RI signaling pathway	5.39E-08	other
Renal cell carcinoma	5.98E-08	other
Renin secretion	5.98E-08	other
Oxidative phosphorylation	6.07E-08	other
Progesterone-mediated oocyte maturation	6.16E-08	other
Toll-like receptor signaling pathway	9.13E-08	other
Leishmaniasis	9.83E-08	other
Biosynthesis of amino acids	1.08E-07	other
Insulin resistance	1.23E-07	other
Endocrine and other factor-regulated calcium reabsorption	1.26E-07	other
Phospholipase D signaling pathway	1.55E-07	other
B cell receptor signaling pathway	2.04E-07	other
Hippo signaling pathway	2.20E-07	other
Carbon metabolism	2.33E-07	other
Cardiac muscle contraction	2.86E-07	other
Prion diseases	3.51E-07	other
PD-L1 expression and PD-1 checkpoint pathway in cancer	3.65E-07	other
Platelet activation	3.69E-07	other
Rheumatoid arthritis	4.27E-07	other
Aldosterone-regulated sodium reabsorption	4.71E-07	other
Natural killer cell mediated cytotoxicity	5.70E-07	other
@@Cell cycle	3.46E-05	other
Glycolysis / Gluconeogenesis	8.53E-07	other
