node1	node2	value
Human cytomegalovirus infection	Pathways in cancer	0.454545455
Human immunodeficiency virus 1 infection	Human cytomegalovirus infection	0.538461538
Chemokine signaling pathway	Human cytomegalovirus infection	0.485714286
Glutamatergic synapse	Circadian entrainment	0.592592593
Cholinergic synapse	Circadian entrainment	0.615384615
Oxytocin signaling pathway	Circadian entrainment	0.482758621
Adrenergic signaling in cardiomyocytes	Circadian entrainment	0.464285714
Melanogenesis	Circadian entrainment	0.5
Long-term potentiation	Circadian entrainment	0.48
Glutamatergic synapse	Retrograde endocannabinoid signaling	0.517241379
"Parathyroid hormone synthesis, secretion and action"	Gap junction	0.458333333
Phospholipase D signaling pathway	Gap junction	0.526315789
Cholinergic synapse	Glutamatergic synapse	0.5
Long-term potentiation	Glutamatergic synapse	0.47826087
Cholinergic synapse	Relaxin signaling pathway	0.5
Chemokine signaling pathway	Relaxin signaling pathway	0.461538462
Oxytocin signaling pathway	Cholinergic synapse	0.56
Cushing syndrome	Cholinergic synapse	0.461538462
Melanogenesis	Cholinergic synapse	0.590909091
"Parathyroid hormone synthesis, secretion and action"	Cholinergic synapse	0.590909091
Long-term depression	Cholinergic synapse	0.454545455
GnRH signaling pathway	Oxytocin signaling pathway	0.48
Adrenergic signaling in cardiomyocytes	Oxytocin signaling pathway	0.461538462
Melanogenesis	Oxytocin signaling pathway	0.565217391
"Parathyroid hormone synthesis, secretion and action"	Oxytocin signaling pathway	0.565217391
Morphine addiction	GABAergic synapse	0.666666667
Vascular smooth muscle contraction	GnRH signaling pathway	0.47826087
Inflammatory mediator regulation of TRP channels	GnRH signaling pathway	0.45
Melanogenesis	Cushing syndrome	0.52173913
"Parathyroid hormone synthesis, secretion and action"	Cushing syndrome	0.458333333
"Parathyroid hormone synthesis, secretion and action"	cGMP-PKG signaling pathway	0.458333333
Vascular smooth muscle contraction	cGMP-PKG signaling pathway	0.565217391
Glioma	Hepatocellular carcinoma	0.523809524
Breast cancer	Hepatocellular carcinoma	0.545454545
Prostate cancer	Hepatocellular carcinoma	0.454545455
Non-small cell lung cancer	Hepatocellular carcinoma	0.5
Chronic myeloid leukemia	Hepatocellular carcinoma	0.45
Gastric cancer	Hepatocellular carcinoma	0.55
ErbB signaling pathway	Endocrine resistance	0.5
Colorectal cancer	Endocrine resistance	0.578947368
Breast cancer	Endocrine resistance	0.55
Choline metabolism in cancer	Endocrine resistance	0.45
Pancreatic cancer	Endocrine resistance	0.5
Focal adhesion	Endocrine resistance	0.476190476
Prolactin signaling pathway	Endocrine resistance	0.470588235
Progesterone-mediated oocyte maturation	Endocrine resistance	0.470588235
Melanogenesis	Adrenergic signaling in cardiomyocytes	0.47826087
Aldosterone synthesis and secretion	Adrenergic signaling in cardiomyocytes	0.454545455
Rap1 signaling pathway	Melanogenesis	0.565217391
"Parathyroid hormone synthesis, secretion and action"	Melanogenesis	0.523809524
Long-term potentiation	Melanogenesis	0.5
Long-term depression	Melanogenesis	0.45
Gastric acid secretion	Melanogenesis	0.473684211
Viral carcinogenesis	Hepatitis C	0.5
Long-term depression	"Parathyroid hormone synthesis, secretion and action"	0.45
Aldosterone synthesis and secretion	Vascular smooth muscle contraction	0.476190476
Calcium signaling pathway	Long-term potentiation	0.454545455
ErbB signaling pathway	Hepatitis B	0.454545455
Colorectal cancer	Hepatitis B	0.454545455
Choline metabolism in cancer	Hepatitis B	0.476190476
Osteoclast differentiation	Hepatitis B	0.523809524
TNF signaling pathway	Hepatitis B	0.55
Yersinia infection	Hepatitis B	0.45
IL-17 signaling pathway	Hepatitis B	0.473684211
T cell receptor signaling pathway	Hepatitis B	0.555555556
Toll-like receptor signaling pathway	Hepatitis B	0.5
Colorectal cancer	ErbB signaling pathway	0.473684211
