ID	Support	Type
@@Arachidonic acid metabolism	0.031746032	5
@@Axon guidance	0.060773481	NA
@@Cell cycle	0.056451613	NA
@@Hedgehog signaling pathway	0.021276596	NA
@@Inositol phosphate metabolism	0.040540541	NA
@@Nucleotide excision repair	0.021276596	NA
@@Parkinson disease	0.112676056	NA
@@Phenylalanine metabolism	0.058823529	3
@@Pyruvate metabolism	0.051282051	7
@@TGF-beta signaling pathway	0.063829787	NA
@@VEGF signaling pathway	0.118644068	1
@@Wnt signaling pathway	0.06875	NA
Acute myeloid leukemia	0.151515152	NA
Adherens junction	0.055555556	NA
Adipocytokine signaling pathway	0.086956522	NA
Adrenergic signaling in cardiomyocytes	0.120805369	2
African trypanosomiasis	0.135135135	2
AGE-RAGE signaling pathway in diabetic complications	0.15	NA
"Alanine, aspartate and glutamate metabolism"	0.055555556	4
Alcoholism	0.116666667	NA
Aldosterone synthesis and secretion	0.142857143	2
Aldosterone-regulated sodium reabsorption	0.162162162	NA
Allograft rejection	0.105263158	1
alpha-Linolenic acid metabolism	0.04	5
Alzheimer disease	0.140350877	NA
Amoebiasis	0.115789474	2
Amphetamine addiction	0.264705882	NA
AMPK signaling pathway	0.058333333	NA
Amyotrophic lateral sclerosis (ALS)	0.176470588	NA
Antifolate resistance	0.064516129	NA
Antigen processing and presentation	0.12987013	NA
Apelin signaling pathway	0.124087591	NA
Apoptosis	0.117647059	1
Apoptosis - multiple species	0.151515152	NA
Arginine and proline metabolism	0.02	3
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.051948052	NA
Asthma	0.161290323	1
Autoimmune thyroid disease	0.056603774	1
Autophagy - animal	0.1015625	NA
Autophagy - other	0.03125	NA
B cell receptor signaling pathway	0.097560976	1
Bacterial invasion of epithelial cells	0.054054054	NA
Basal cell carcinoma	0.063492063	NA
Base excision repair	0.03030303	NA
beta-Alanine metabolism	0.060606061	4
Bile secretion	0.083333333	NA
Biosynthesis of amino acids	0.106666667	NA
Bladder cancer	0.170731707	1
Breast cancer	0.102040816	1
Butanoate metabolism	0.071428571	4
Caffeine metabolism	0.2	6
Calcium signaling pathway	0.093264249	2
cAMP signaling pathway	0.11682243	NA
Carbohydrate digestion and absorption	0.045454545	NA
Carbon metabolism	0.076923077	NA
Cardiac muscle contraction	0.093023256	NA
Cell adhesion molecules (CAMs)	0.054794521	NA
Cellular senescence	0.06875	1
Central carbon metabolism in cancer	0.086956522	1
cGMP-PKG signaling pathway	0.113772455	2
Chagas disease (American trypanosomiasis)	0.13592233	1
Chemical carcinogenesis	0.024390244	6
Chemokine signaling pathway	0.094736842	2
Cholesterol metabolism	0.04	NA
Choline metabolism in cancer	0.131313131	1
Cholinergic synapse	0.169642857	2
Chronic myeloid leukemia	0.131578947	1
Circadian entrainment	0.237113402	2
Circadian rhythm	0.129032258	NA
Citrate cycle (TCA cycle)	0.033333333	7
Cocaine addiction	0.306122449	NA
Collecting duct acid secretion	0.111111111	NA
Colorectal cancer	0.162790698	1
Complement and coagulation cascades	0.025316456	NA
