Herb1	Herb2	Co_ratio	Herb_pair	pValue	Event_ratio	Co_event	Ex_event	Total_event	Co_level	Prob_1to2	Prob_2to1
五味子	麦冬	0.761904761904762	麦冬, 五味子	1.60374687393695e-23	64/20	64	20	84	4	0.914285714285714	0.82051282051282
延胡索	三七	0.61038961038961	三七, 延胡索	2.73183523533842e-15	47/30	47	30	77	4	0.691176470588235	0.839285714285714
五味子	黄芪	0.607142857142857	黄芪, 五味子	3.62876099998616e-13	68/44	68	44	112	4	0.971428571428571	0.618181818181818
青蒿	常山	0.518518518518518	常山, 青蒿	4.35795826900775e-13	14/13	14	13	27	4	0.518518518518518	1
麦冬	黄芪	0.634782608695652	黄芪, 麦冬	1.20945274850488e-11	73/42	73	42	115	4	0.935897435897436	0.663636363636364
川芎	野葛根	0.58	川芎, 野葛根	2.44474788923889e-11	58/42	58	42	100	4	0.630434782608696	0.878787878787879
砂仁	木香	0.576923076923077	木香, 砂仁	2.6887082890104e-10	60/44	60	44	104	4	0.869565217391304	0.631578947368421
麦冬	三七	0.522727272727273	麦冬, 三七	3.37310801500732e-10	46/42	46	42	88	4	0.58974358974359	0.821428571428571
青蒿	五味子	0.347222222222222	青蒿, 五味子	9.23276964204744e-09	25/47	25	47	72	4	0.925925925925926	0.357142857142857
山楂	何首乌	0.454545454545455	何首乌, 山楂	2.25048703952907e-08	10/12	10	12	22	4	0.625	0.625
苦参	青蒿	0.40625	苦参, 青蒿	2.45357606810749e-08	13/19	13	19	32	4	0.722222222222222	0.481481481481481
丹皮	栀子	0.416666666666667	丹皮, 栀子	3.60235921145867e-08	10/14	10	14	24	4	0.476190476190476	0.769230769230769
青蒿	黄连	0.296703296703297	黄连, 青蒿	3.9672927273563e-08	27/64	27	64	91	4	1	0.296703296703297
三七	五味子	0.482352941176471	三七, 五味子	4.72276211333058e-08	41/44	41	44	85	4	0.732142857142857	0.585714285714286
煅牡蛎	蒲公英	0.347826086956522	煅牡蛎, 蒲公英	5.49860500202358e-08	8/15	8	15	23	4	1	0.347826086956522
决明子	何首乌	0.444444444444444	何首乌, 决明子	5.89982426270907e-08	8/10	8	10	18	4	0.8	0.5
决明子	山楂	0.444444444444444	决明子, 山楂	5.89982426270907e-08	8/10	8	10	18	4	0.8	0.5
黄芪	甘草	0.739130434782609	甘草, 黄芪	1.45807873667681e-07	102/36	102	36	138	4	0.927272727272727	0.784615384615385
杏仁	川贝母	0.5	川贝母, 杏仁	1.48349091473359e-07	6/6	6	6	12	4	0.545454545454545	0.857142857142857
钩藤	泽泻	0.412698412698413	钩藤, 泽泻	1.59676330382644e-07	26/37	26	37	63	4	0.666666666666667	0.52
