aaa	T01445	Acidovorax avenae
aab	T05547	Amycolatopsis albispora
aac	T00985	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
aace	T04735	Acetobacter aceti
aaci	T04523	Acidipropionibacterium acidipropionici CGMCC 1.2230
aacn	T04531	Aggregatibacter actinomycetemcomitans NUM4039
aact	T04753	Aggregatibacter actinomycetemcomitans 624
aad	T01821	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
aae	T00013	Aquifex aeolicus
aaf	T04134	Aureococcus anophagefferens
aag	T01053	Aedes aegypti (yellow fever mosquito)
aah	T03184	Aggregatibacter actinomycetemcomitans HK1651
aai	T01320	Glutamicibacter arilaitensis Re117
aaj	T04629	Aeromonas hydrophila MX16A
aak	T04343	Aminobacter aminovorans
aal	T03220	Alteromonas australica H 17
aalg	T04973	Arenibacter algicola
aalt	T05291	Alternaria alternata
aam	T04298	Apteryx australis mantelli (brown kiwi)
aamy	T04397	Anoxybacillus amylolyticus
aan	T02046	Aggregatibacter actinomycetemcomitans D7S-1
aao	T01651	Aggregatibacter actinomycetemcomitans ANH9381
aap	T00929	Aggregatibacter aphrophilus NJ8700
aaq	T04095	Arthrobacter alpinus R3.8
aaqu	T05678	Alcaligenes aquatilis
aar	T01290	Acetohalobium arabaticum
aas	T00730	Candidatus Amoebophilus asiaticus
aasc	T05523	Acetobacter ascendens
aat	T00993	Aggregatibacter actinomycetemcomitans D11S-1
aau	T00447	Paenarthrobacter aurescens
aaus	T03858	Alteromonas australica DE170
aav	T00451	Acidovorax citrulli
aaw	T04403	Alteromonas addita
aaxa	T05950	Acholeplasma axanthum
aay	T03925	Altererythrobacter atlanticus
aaz	T04521	Aggregatibacter aphrophilus W10433
aba	T00352	Candidatus Koribacter versatilis
abaa	T03376	Acinetobacter baumannii AB031
abab	T02727	Acinetobacter baumannii BJAB0715
abac	T04394	Luteitalea pratensis
abad	T02491	Acinetobacter baumannii D1279779
abae	T05652	Aerococcaceae bacterium ZY16052
abai	T03963	Actinobacteria bacterium IMCC26256
abaj	T02728	Acinetobacter baumannii BJAB0868
abal	T03519	Acinetobacter baumannii LAC-4
abam	T05073	Candidatus Nanopelagicus limnes
abao	T04463	Anaerolineaceae bacterium oral taxon 439
abas	T05576	Acidobacteriaceae bacterium SBC82
abat	T04881	Brevefilum fermentans
abau	T03375	Acinetobacter baumannii AB030
abaw	T05798	Alphaproteobacteria bacterium WS11
abaz	T02954	Acinetobacter baumannii ZW85-1
abb	T00795	Acinetobacter baumannii AB307-0294
abc	T00710	Acinetobacter baumannii ACICU
abd	T01908	Acinetobacter baumannii TCDC-AB0715
abe	T01611	Trichophyton benhamiae
abf	T04566	Azospirillum brasilense Sp7
abg	T04138	Asaia bogorensis
abh	T02261	Acinetobacter baumannii TYTH-1
abi	T01180	Aciduliprofundum boonei
abj	T02726	Acinetobacter baumannii BJAB07104
abk	T03374	Acinetobacter baumannii AbH12O-A2
abl	T02755	Arcobacter butzleri 7h1h
abm	T00660	Acinetobacter baumannii SDF
abn	T00793	Acinetobacter baumannii AB0057
abo	T00380	Alcanivorax borkumensis
abp	T03136	Agaricus bisporus var. burnettii JB137-S8
abq	T03288	Azospirillum brasilense Az39
abr	T02045	Acinetobacter baumannii MDR-TJ
abra	T03095	Acholeplasma brassicae
abri	T05472	Acidianus brierleyi
abs	T02152	Azospirillum brasilense Sp245
abt	T01823	Arcobacter butzleri ED-1
abu	T00600	Arcobacter butzleri RM4018
abv	T03140	Agaricus bisporus var. bisporus H97
abw	T03377	Acinetobacter baumannii AC29
abx	T01819	Acinetobacter baumannii 1656-2
aby	T00667	Acinetobacter baumannii AYE
