Gene	DI
APC	0.197628458
TP53	-0.027322404
KRAS	0.308988764
TTN	-0.326797386
FGF5	0.195729537
FBXW7	-0.199115044
MUC4	0.338078292
MUC16	0
NBPF10	-0.02688172
AHNAK2	0.326797386
MUC12	-0.121359223
OR2T2	0
MUC17	-0.017482517
NBPF1	-0.564516129
HERC2	-0.445205479
FLG2	-0.158730159
FLG	-0.077720207
TCF7L2	-0.158730159
DNAH5	0.185185185
APOB	0.705128205
IGFN1	0.448717949
DMD	0.185185185
DNAH11	0.67961165
ZFHX4	0.377358491
MUC19	0.34351145
USH2A	0.705128205
SYNE1	0.377358491
LILRB3	0.188679245
SACS	0
ABCA13	0
FAT4	-0.616438356
PIK3CA	0.34351145
TECTA	-0.639534884
ARID1A	-0.555555556
ACVR2A	0.496183206
FSIP2	0.377358491
ZNF91	-0.616438356
BRAF	-0.555555556
SMAD4	-0.058139535
ZFHX3	0.188679245
PCLO	0.185185185
SVEP1	0.535714286
HRNR	-0.490196078
ZNF208	-0.02688172
PXDNL	-0.058139535
AHNAK	0.038167939
TMEM132C	0.34351145
MYO18B	-0.058139535
PDZD2	0.754716981
TENM3	0.185185185
TRIOBP	0.377358491
NEB	0.754716981
MMP16	-0.53030303
LIFR	0.801526718
VPS13C	-0.151515152
COL6A3	0.178571429
PTPRZ1	-0.639534884
RELN	0.925925926
ABCA8	-0.639534884
OR2T8	-0.326086957
ZFP36L2	-0.264227642
ZNF676	0.541125541
ANK1	0
PRAMEF1	-0.471698113
ELFN1	-0.53030303
PCDHB10	-0.471698113
OBSCN	0.679012346
DNAH17	0.178571429
CSMD3	0.801526718
MUC6	0.178571429
COL6A5	0.754716981
FAT3	0.925925926
XIRP2	0.754716981
OR2T34	-0.53030303
ANKRD36C	-0.151515152
AMER1	-0.471698113
CACNA1E	0.178571429
WNK2	0.178571429
BAI1	-0.326086957
BDP1	0.754716981
TEX15	0.432098765
COL27A1	0.185185185
MAST4	0.754716981
LRP2	0.432098765
PKHD1	0.679012346
MGA	0.432098765
GPR112	-0.348837209
MAP2	0.925925926
ROBO2	0.892857143
RBM4	-0.088495575
ZNF729	-0.199115044
TG	-0.555555556
ZNF99	-0.058139535
NRXN3	-0.058139535
CSMD1	-0.235849057
COL22A1	0.801526718
MUC5B	0.432098765
FREM2	0.188679245
PIK3R5	-0.326086957
PCDH10	0.648854962
NOTCH3	0.432098765
PRDM16	-0.348837209
ADAMTS16	0.432098765
CARD11	0.535714286
BIRC6	0.432098765
OTOG	-0.151515152
ARHGEF10	0.178571429
RETSAT	0.754716981
BSN	0.679012346
DNHD1	0.925925926
IRS4	0.535714286
ATM	-0.639534884
PTPRF	0.178571429
LRBA	-0.53030303
LAMA2	0
THSD7A	0.535714286
PCDH19	0.679012346
DISC1	-0.53030303
