gene	chrom	txStart	txEnd
ABL1	chr9	133589267	133763062
ABL2	chr1	179068464	179198812
ALK	chr2	29415639	30144452
AR	chrX	66763862	66950461
ARAF	chrX	47420603	47431307
ATM	chr11	108093793	108239829
ATR	chr3	142168076	142297575
BRAF	chr7	140413127	140624729
BRCA1	chr17	41196311	41277381
BRCA2	chr13	32889644	32974405
BTK	chrX	100604437	100645784
CCND1	chr11	69455923	69469242
CCND2	chr12	4382927	4414519
CCND3	chr6	41902670	42016632
CD274	chr9	5450541	5470554
CDK4	chr12	58141509	58146093
CDK6	chr7	92234234	92465887
CDKN1A	chr6	36644239	36655109
CDKN1B	chr12	12870301	12875303
CDKN2A	chr9	21967750	21995323
CDKN2B	chr9	22002901	22009312
DDR1	chr6	30848746	30867933
DDR2	chr1	162600652	162757195
EGFR	chr7	55086709	55279321
ERBB2	chr17	37844346	37884911
ESR1	chr6	151977806	152450754
FGFR1	chr8	38268660	38326153
FGFR2	chr10	123237843	123357972
FGFR3	chr4	1795019	1810594
FGFR4	chr5	176513915	176525145
FLCN	chr17	17115525	17140482
FLT1	chr13	28874482	29069265
FLT3	chr13	28577410	28674713
FLT4	chr5	180028505	180076600
GNA11	chr19	3094359	3123997
GNAQ	chr9	80331012	80646727
HDAC1	chr1	32757683	32799227
HDAC2	chr6	114254191	114292312
HRAS	chr11	532241	535576
JAK1	chr1	65298911	65533429
JAK2	chr9	4984389	5129948
KDR	chr4	55944647	55991762
KIT	chr4	55524123	55606881
KRAS	chr12	25358179	25403863
MAP2K1	chr15	66679249	66783882
MET	chr7	116312249	116438431
MTOR	chr1	11166591	11322608
NF1	chr17	29421944	29704695
NF2	chr22	29999544	30094589
NRAS	chr1	115247089	115259392
PALB2	chr16	23614485	23652631
PARP1	chr1	226548391	226595794
PDCD1LG2	chr9	5510530	5571282
PDGFRA	chr4	55095459	55164412
PDGFRB	chr5	149493401	149535408
PIK3CA	chr3	178866144	178957881
PIK3CD	chr1	9711788	9789172
PTCH1	chr9	98205261	98279253
PTEN	chr10	89623381	89731687
RAF1	chr3	12625099	12705616
RET	chr10	43572516	43625799
RNF43	chr17	56429860	56494895
ROS1	chr6	117608515	117747105
SMO	chr7	128828473	128853386
SRC	chr20	35973101	36034453
STK11	chr19	1205776	1228430
TNK2	chr3	195590234	195635422
TSC1	chr9	135766735	135820003
TSC2	chr16	2097985	2139492
