genesymbol,entrezgene,variant_name,variant_description,variant_groups,api_url,api_variant_id,chromosome,chr_start,chr_stop,refbase,altbase,refbuild,evidence_type,evidence_level,evidence_description,evidence_direction,clinical_significance,variant_origin,status,type,pubmed_id,pubmed_html_link,disease_name,disease_ontology_id,disease_url,drug_names,drug_interaction_type,rating
CCND1,595,AMPLIFICATION,CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.,NA,https://civic.genome.wustl.edu/api/variants/18,18,11,69455855,69469242,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"A panel of 47 breast cancer cell lines was tested for sensitivty/resistance to CDK4/6 inhibitor Palbociclib (PD0332991),  where IC50 below 150nM was sensitive, and above 1000nM resistant. Cyclin D1 had higher expression levels in sensitive cell lines.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,19874578,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/19874578' target='_blank'>Finn et al., 2009, Breast Cancer Res.</a>",Breast Cancer,1612,http://www.disease-ontology.org/?id=DOID:1612,Palbociclib (PD0332991),NA,2
CCND1,595,AMPLIFICATION,CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.,NA,https://civic.genome.wustl.edu/api/variants/18,18,11,69455855,69469242,NA,NA,GRCh37,Predictive,D: Preclinical evidence,A panel of 40 ovarian cancer cell lines with varied mutation profiles was assayed for sensitivity to the cdk4/6 inhibitor palbociclib (PD0332991) via measurement of IC50 values for inhibition of proliferation. Large variation in palbociclib sensitivity was observed and cell lines (N=40) were classified as above (resistant) or below (sensitive) the mean log of all IC50 values. 6/18 (33%) of the resistant lines and in only 1/22 (5%) of the sensitive lines (P = 0.017) had CCND1 copy number gain. Increased CCND1 expression was not correlated with sensitivity to palbociclib (p=0.671).,Does Not Support,Sensitivity,Somatic Mutation,accepted,evidence,21278246,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/21278246' target='_blank'>Konecny et al., 2011, Clin. Cancer Res.</a>",Ovarian Cancer,2394,http://www.disease-ontology.org/?id=DOID:2394,Palbociclib (PD0332991),NA,3
CCND1,595,AMPLIFICATION,CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.,NA,https://civic.genome.wustl.edu/api/variants/18,18,11,69455855,69469242,NA,NA,GRCh37,Predictive,D: Preclinical evidence,"28 renal cell carcinoma cell lines were tested for sensitivity to CDK4/6 inhibitor Palbociclib (PD0332991). 19 were reported sensitive, and 9 resistant. 15 of the 28 cell lines had high levels of Cyclin D1 (CCND1) expression which did not correlate significantly with palbociclib sensitivity (p=0.348).",Does Not Support,Sensitivity,Somatic Mutation,accepted,evidence,23898052,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/23898052' target='_blank'>Logan et al., 2013, Anticancer Res.</a>",Renal Cell Carcinoma,4450,http://www.disease-ontology.org/?id=DOID:4450,Palbociclib (PD0332991),NA,2
CCND1,595,AMPLIFICATION,CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.,NA,https://civic.genome.wustl.edu/api/variants/18,18,11,69455855,69469242,NA,NA,GRCh37,Predictive,B: Clinical evidence,"Retrospective analysis of somatic mutations and copy number changes in 119 patient treated with carboplatin, paclitaxel, Â± sorafenib (CPS) in the E2603 trial. CPS therapy was associated with improved progression-free survival (PFS) compared with CP in patients with tumors with CCND1 gene copy gains (HR, 0.45; P = 0.035).",Supports,Sensitivity,Somatic Mutation,accepted,evidence,26307133,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/26307133' target='_blank'>Wilson et al., 2016, Clin. Cancer Res.</a>",Skin Melanoma,8923,http://www.disease-ontology.org/?id=DOID:8923,"Sorafenib, Paclitaxel, Carboplatin",Combination,2
CCND1,595,AMPLIFICATION,CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.,NA,https://civic.genome.wustl.edu/api/variants/18,18,11,69455855,69469242,NA,NA,GRCh37,Predictive,B: Clinical evidence,"In this retrospective analysis, CCND1 amplification was analyzed in 442 patients. No interaction with treatment was observed.",Does Not Support,Resistance or Non-Response,Somatic Mutation,accepted,evidence,24367492,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/24367492' target='_blank'>Keilty et al., 2013, PLoS ONE</a>",Breast Cancer,1612,http://www.disease-ontology.org/?id=DOID:1612,Tamoxifen,NA,3
CCND1,595,AMPLIFICATION,CCND1 amplification has been implicated in poorer prognosis in non-small cell lung cancer.,NA,https://civic.genome.wustl.edu/api/variants/18,18,11,69455855,69469242,NA,NA,GRCh37,Prognostic,B: Clinical evidence,Inceased copy number of CCND1 is associated with poorer overall survival.,Supports,Poor Outcome,Somatic Mutation,accepted,evidence,17070615,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/17070615' target='_blank'>Gautschi et al., 2007, Lung Cancer</a>",Non-small Cell Lung Carcinoma,3908,http://www.disease-ontology.org/?id=DOID:3908,NA,NA,3
CDK4,1019,AMPLIFICATION,NA,NA,https://civic.genome.wustl.edu/api/variants/553,553,12,58141510,58146304,NA,NA,GRCh37,Predictive,B: Clinical evidence,"More than 90% of well-differentiated or dedifferentiated liposarcomas (WD/DDLS) have CDK4 amplification. A prior phase 2 study demonstrated that treatment with palbociclib (200 mg/d for 14 days every 21 days) resulted in clinical benefit in WD/DDLS but moderate hematologic toxic effects. In this phase 2, nonrandomized, open-label clinical trial conducted at the Memorial Sloan Kettering Cancer Center, 60 patients 18 years and older with advanced WD/DDLS and measurable disease by RECIST 1.1 were enrolled from December 2011 to January 2014 and followed to March 2015. Patients received oral palbociclib at new dose scheme, 125 mg/d for 21 days in 28-day cycles. Progression-free survival at 12 weeks was 57.2% and overall median PFS was 17.9 weeks. There was 1 complete response. Toxic effects were primarily hematologic and included neutropenia (grade 3, nâ€?â€?0 [33%]; grade 4, nâ€?â€? [3%]) but no neutropenic fever. Compared to other dose scheme in PMID 23569312 with 200mg/d: 12week PFS 66%, overall median PFS 18 weeks.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,27124835,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/27124835' target='_blank'>Dickson et al., 2016, JAMA Oncol</a>",Liposarcoma,3382,http://www.disease-ontology.org/?id=DOID:3382,Palbociclib,NA,3
CDK4,1019,AMPLIFICATION,NA,NA,https://civic.genome.wustl.edu/api/variants/553,553,12,58141510,58146304,NA,NA,GRCh37,Predictive,B: Clinical evidence,"In a phase 2 clinical trial, NCT01209598, 30 patients with CDK4-amplified and RB-expressing well differentiated and dedifferentiated liposarcomas (WDLS/DDLS) were treated with a selective CDK 4/6 inhibitor, PD0332991. Treatment with PD0332991 was associated with favorable progression free survival rates (66% PFS rate, primary end point being greater than 40%) suggesting that CDK4 amplification is predictive of sensitivity to CDK4 inhibitor therapy.",Supports,Sensitivity,Somatic Mutation,accepted,evidence,23569312,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/23569312' target='_blank'>Dickson et al., 2013, J. Clin. Oncol.</a>",Liposarcoma,3382,http://www.disease-ontology.org/?id=DOID:3382,PD0332991,NA,3
FGF3,2248,AMPLIFICATION,NA,NA,https://civic.genome.wustl.edu/api/variants/630,630,11,69624992,69633792,NA,NA,GRCh37,Predictive,C: Case study,"FGF3/FGF4 amplification was observed in around 2% of HCCs. Although the sample size was relatively small, FGF3/FGF4 amplification, a poorly differentiated histological type, and multiple lung metastases were frequently observed in responders to sorafenib.",Supports,Sensitivity,Somatic Mutation,submitted,evidence,22890726,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/22890726' target='_blank'>Arao et al., 2013, Hepatology</a>",Hepatocellular Carcinoma,684,http://www.disease-ontology.org/?id=DOID:684,Sorafenib,NA,3
FGF3,2248,AMPLIFICATION,NA,NA,https://civic.genome.wustl.edu/api/variants/630,630,11,69624992,69633792,NA,NA,GRCh37,Predictive,B: Clinical evidence,"81 patients were enrolled in a clinical trial with the FGFR inhibitor dovitinib. Four of these patients had FGF3 amplifications (qPCR) and showed tumor reductions of 100%, 30.8%, 23.0%, and 7.5%, respectively. 3 of these 4 patients also had FGFR1 amplifications (â‰? copies by qPCR) and the fourth presented with FGFR1-gene gain (3.4 copies of FGFR1 by qPCR and SISH negative).",Supports,Sensitivity,NA,accepted,evidence,23658459,"<a href='http://www.ncbi.nlm.nih.gov/pubmed/23658459' target='_blank'>AndrÃ© et al., 2013, Clin. Cancer Res.</a>",Breast Cancer,1612,http://www.disease-ontology.org/?id=DOID:1612,Dovitinib,NA,2
